1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1988:Q3,868961,45201,531229,57922,86539,125840,0,0,9012,13218,1197563,53960,890081,85529,40550,47804,40996,0,6321,32322,-328602
1988:Q4,923378,45844,576096,63925,88180,128620,0,0,8548,12165,1213240,54690,895916,88294,40682,50757,42460,0,6797,33644,-289862
1989:Q1,937989,49987,577312,65171,90818,131467,0,0,8463,14771,1252767,56177,927042,90464,42390,51488,43489,0,7097,34620,-314778
1989:Q2,953519,54110,581921,64939,94295,134396,0,0,8532,15326,1288212,57688,955263,92268,43782,52449,44171,0,7397,35194,-334693
1989:Q3,959660,58229,577571,66361,95893,137363,0,0,8216,16027,1301143,59187,964676,93781,43963,52866,44701,0,7697,34272,-341483
1989:Q4,985831,62363,597901,66469,96799,140418,0,0,8005,13876,1282093,60646,937992,95080,43876,54242,45276,0,8722,36259,-296262
1990:Q1,974463,65124,588308,67828,94174,143577,0,0,6095,9357,1294754,62140,943706,96140,46080,53795,45835,0,10370,36688,-320291
1990:Q2,986556,67888,593497,67270,95581,146740,0,0,5866,9714,1336981,63586,979042,96941,47088,54533,46317,0,12329,37145,-350425
1990:Q3,1013609,70660,616321,65278,95060,149965,0,0,5720,10605,1380160,65030,1012945,97495,46090,55975,46769,0,14658,41198,-366551
1990:Q4,1032077,73444,626310,66417,91002,153326,0,0,6103,15475,1337578,66518,967178,97817,42141,56691,47238,0,17427,42568,-305501
1991:Q1,1000747,75698,587704,69889,88244,156685,0,0,5774,16753,1320218,67527,950905,97716,41281,55161,47734,0,18364,41530,-319471
1991:Q2,1018133,77969,600650,66997,88837,160065,0,0,6469,17146,1351702,68572,980610,97500,40363,56201,48290,0,19352,40814,-333569
1991:Q3,1037718,80243,616179,65630,89161,163507,0,0,6202,16796,1369107,69625,995877,96420,39797,57271,48786,0,20393,40938,-331389
1991:Q4,1076316,82501,649415,67752,85478,167005,0,0,6785,17380,1336757,70662,961380,96724,37508,59091,49102,0,21490,40800,-260441
1992:Q1,1060262,83683,627620,70839,84605,170576,0,0,6002,16937,1355974,71284,977573,97908,38176,58386,49210,0,22366,41071,-295712
1992:Q2,1085016,84865,646811,69787,86007,174157,0,0,6432,16957,1400157,71906,1019494,99961,35602,59795,49085,0,22283,42031,-315141
1992:Q3,1099347,86047,655379,70374,85310,177744,0,0,6554,17939,1413876,72530,1031412,102668,32351,60597,48953,0,23132,42233,-314529
1992:Q4,1134092,87229,682817,74065,82677,181351,0,0,7389,18564,1376226,73154,988942,103812,30831,62201,49040,0,25775,42471,-242134
1993:Q1,1130570,89225,666438,77383,83807,185014,0,0,8101,20602,1416633,74214,1025995,106272,30550,61958,49327,0,26010,42307,-286063
1993:Q2,1139777,91222,668865,75235,85357,188762,0,0,9931,20405,1449472,75276,1057388,107041,28921,62638,49790,0,26552,41866,-309695
1993:Q3,1155216,93218,678048,74097,87373,192537,0,0,10437,19506,1477774,76336,1082549,107576,29103,63516,50291,0,25225,43178,-322558
1993:Q4,1203465,95215,719258,75547,85628,196360,0,0,10069,21388,1437954,77398,1035046,108731,28443,65802,50693,0,28357,43484,-234489
1994:Q1,1197117,96321,701141,79327,86141,200227,0,0,12256,21704,1473423,78544,1064540,112710,27736,65516,51253,0,28955,44169,-276306
1994:Q2,1228950,97427,728065,77869,87192,204171,0,0,9989,24237,1526458,79688,1111514,116549,26966,67321,51812,0,27904,44704,-297508
1994:Q3,1249068,98534,742957,78658,86684,208240,0,0,10257,23738,1549865,80834,1125020,121182,26560,68439,52372,0,31217,44241,-300797
1994:Q4,1310053,99639,796530,82964,85408,212372,0,0,9149,23991,1543025,81980,1106979,125024,24664,71244,52931,0,35170,45033,-232972
