1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1988:Q4,955306,2526,47255,0,16478,263763,19246,85146,69172,90199,12629,300642,6493,305520,78151,9677,142506,75186,980312
1989:Q1,969092,2926,51069,0,17053,270195,19209,80170,79336,91480,13694,313903,6426,293826,79334,10777,128102,75613,995931
1989:Q2,982871,2726,52792,0,16868,279078,18296,84119,82868,93795,15047,333578,6638,276144,80060,11902,110425,73757,1011177
1989:Q3,996155,2226,57318,0,17731,287011,18481,87436,85768,95326,16377,375207,7000,233285,82726,13052,73057,64450,1026432
1989:Q4,1010524,1557,56858,0,16755,299713,16755,93036,90951,98971,18238,358912,6783,251708,80124,14118,89030,68436,1042018
1990:Q1,1025672,1157,55257,0,16289,302463,16289,84536,101376,100262,18314,345961,6327,279904,76413,15068,126141,62282,1056542
1990:Q2,1041379,957,54590,0,16172,312956,16172,87813,105057,103914,18845,375936,7306,254617,77624,15518,98250,63225,1071806
1990:Q3,1057782,1057,53645,0,15932,322786,15932,90950,108567,107337,19335,305891,6069,333067,73369,16068,186565,57065,1087666
1990:Q4,1074410,1038,51312,0,15026,330218,15026,93594,111474,110124,19708,341438,6776,308894,73601,16921,174553,43819,1103725
1991:Q1,1090551,1028,50913,0,14548,338596,14548,84516,124690,114842,18061,405234,8483,253688,74711,18671,118159,42147,1119422
1991:Q2,1106528,1013,52144,0,14875,337794,14875,83514,122977,116428,16102,403130,8956,272514,72979,21171,130491,47873,1135053
1991:Q3,1122038,998,53432,0,15279,350299,15279,86047,126568,122405,14815,422868,10667,253680,74852,23421,107867,47540,1150463
1991:Q4,1136805,988,56770,0,16863,349754,16863,84682,124312,123897,12957,458593,11423,229457,77303,25084,85151,41919,1165432
1992:Q1,1153111,985,54054,0,16453,355998,16453,73851,136317,129377,12175,436072,12416,264958,75006,26491,131441,32020,1180890
1992:Q2,1169257,995,52020,0,16382,359318,16382,73470,135552,133914,11296,442566,13664,273016,74346,27833,134049,36788,1196118
1992:Q3,1185860,1007,49606,0,15971,365799,15971,73865,136225,139738,10583,447342,13614,281938,71438,29200,146032,35268,1211512
1992:Q4,1202775,1012,47638,0,15799,369967,15799,73658,135780,144730,9850,484519,15619,258371,69589,30651,122915,35216,1227199
1993:Q1,1217997,1006,49348,0,15992,379614,15992,63520,150715,149387,9720,521086,16963,224268,70892,32218,84123,37035,1242085
1993:Q2,1234000,994,50650,0,15835,383850,15835,63924,151797,152294,9445,519917,18446,234863,68911,33985,95592,36375,1257475
1993:Q3,1250160,977,51833,0,15575,394502,15575,73601,147850,157476,9354,534801,20449,222669,69361,35952,82087,35269,1273213
1993:Q4,1266077,1007,54087,0,15782,394298,15782,68061,151727,158728,8450,555640,22346,214467,69703,38019,70968,35777,1288967
1994:Q1,1280591,1130,55753,0,14428,393894,14428,65286,155393,158787,7921,529828,23076,254561,67322,39819,118023,29397,1304122
1994:Q2,1294922,1302,57719,0,13345,407497,13345,69228,164730,160194,7498,530198,24043,253320,67523,41419,109450,34928,1319399
1994:Q3,1309816,1475,59848,0,12406,423107,12406,75547,176276,158878,6850,571487,26616,208027,67837,42819,60400,36971,1334942
1994:Q4,1313642,1794,67149,0,11594,433604,11594,78177,182413,161420,4701,559881,39041,195878,79223,44194,37678,34783,1350735
1995:Q1,1328356,1860,69171,0,11487,439727,11487,78716,183562,165962,4730,601445,47207,152729,80371,44604,-6711,34465,1366319
1995:Q2,1343229,1929,71244,0,11379,443830,11379,78870,183814,169767,4759,646776,55424,107888,81475,45015,-52749,34147,1382063
1995:Q3,1357908,1998,73344,0,11272,449016,11272,79208,184492,174044,4788,677526,62654,77310,81695,45425,-83639,33829,1397612
1995:Q4,1371929,2067,75421,0,11164,455325,11164,79732,185607,178822,4817,688790,68461,65884,80730,45836,-94193,33511,1412503
1996:Q1,1386672,2140,78875,0,12007,456851,12007,79217,184298,181329,4846,701646,73480,56827,83129,46246,-108591,36043,1428116
1996:Q2,1400943,2211,82295,0,12850,461991,12850,79334,184461,185346,4874,710730,78362,47630,85418,46656,-123019,38575,1443258
1996:Q3,1415341,2282,85739,0,13692,451906,13692,76323,179829,182062,4904,725803,83086,47929,89584,47066,-129828,41107,1458526
1996:Q4,1430217,2217,89686,0,14171,444073,14171,74652,173319,181931,4860,764300,91043,19867,89862,47475,-160015,42545,1474271
1997:Q1,1444092,2431,94688,0,13746,451597,13747,75372,174892,187586,4892,731767,94364,50607,87358,49612,-127640,41277,1489027
1997:Q2,1458666,2537,98859,0,14074,460039,14075,76116,176518,193330,4925,829675,107880,-59323,90645,50768,-243002,42266,1504500
1997:Q3,1473601,2871,103437,0,13897,469528,13899,77121,178756,199752,4976,877379,118122,-116609,90906,51920,-301175,41740,1520351
1997:Q4,1489027,2640,106442,0,14238,480894,14243,77871,180398,208382,5360,843991,122308,-86846,92046,52847,-274511,42772,1536039
1998:Q1,1520149,2758,110893,0,14308,472200,14320,72248,175648,209984,5340,940549,137588,-163487,95951,55560,-357995,42997,1568101
1998:Q2,1551096,2872,115152,0,14356,461298,14383,67462,172346,207107,5333,910477,141002,-99394,93780,58248,-294589,43167,1600007
1998:Q3,1582109,2985,119113,0,14361,453449,14419,62277,167403,209350,5330,782228,135172,69471,89002,60807,-123569,43231,1631999
1998:Q4,1610027,3197,122885,0,14279,457570,14390,57247,162157,223776,4984,949139,156608,-98635,95114,60883,-297703,43071,1664201
1999:Q1,1631743,2640,119649,0,14456,472596,14656,61258,168252,228430,4985,934231,166351,-83165,94937,60481,-283572,44989,1687093
1999:Q2,1653688,2840,115859,0,14486,499175,14824,69067,176651,238633,4987,963493,176580,-123732,94760,59226,-325509,47791,1710224
1999:Q3,1675501,2991,111134,0,14333,518396,14870,76044,182552,244930,4988,862853,175421,-14615,89583,56901,-211234,50135,1733231
1999:Q4,1697997,3419,103181,0,13971,546603,14776,75893,192606,263328,4989,1006300,198960,-179426,91906,53359,-376648,51957,1755646
2000:Q1,1716532,3541,100533,0,12695,530498,13839,73413,187784,255462,4893,1111274,214224,-261126,94031,51417,-454370,47796,1772978
2000:Q2,1736846,3746,91708,0,10719,504534,12263,71437,179472,241362,4629,1091678,224427,-194595,90903,44945,-373714,43271,1790035
