1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q3,658574,619661,511908,241403,270505,59571,2967,56604,6855,41327,38912,18302,0,0,50,50,0,3627,0,3627,9422,7511,7000,511,0,0,124756,112844,17199,12504,83140,11869,0,43,0,533818,533651,167,198505,81932,21.13902748174903
1967:Q4,670479,631467,522958,247419,275539,60639,3037,57602,7023,40847,39013,18344,0,0,100,100,0,3872,0,3872,9022,7675,7152,523,0,0,127111,115611,17657,12779,85175,11456,0,44,0,543368,543197,171,203546,83788,21.2767566388838
1968:Q1,683190,645330,533779,254185,279594,61491,3114,58377,7151,42908,37860,18375,0,0,150,150,0,3592,0,3592,7893,7850,7316,534,0,0,126744,117514,17895,13189,86430,9186,0,45,0,556446,556272,174,208913,85639,21.11861577129227
1968:Q2,695451,657367,543214,259431,283783,62520,3189,59331,7189,44444,38084,18418,0,0,200,200,0,3677,0,3677,7736,8053,7487,566,0,0,130781,121388,18759,13500,89129,9346,0,46,0,564670,564493,177,212543,87351,21.4972240390758
1968:Q3,705400,666645,550907,262872,288035,63566,3274,60292,7229,44944,38755,18462,0,0,250,250,0,3532,0,3532,8263,8248,7674,574,0,0,133673,123688,18709,13462,91517,9938,0,47,0,571727,571546,181,214414,88670,21.63410086731464
1968:Q4,724460,685641,569262,275581,293681,64811,3367,61444,7321,44247,38819,18499,0,0,300,300,0,3852,0,3852,7655,8512,7882,630,0,0,135981,126582,19120,13573,93888,9351,0,48,0,588479,588293,186,224854,91528,21.51003775472882
1969:Q1,739196,699774,580615,282727,297888,65845,3456,62389,7436,45878,39422,18526,0,0,350,350,0,3530,0,3530,8257,8758,8114,645,0,0,139277,129653,19989,14148,95515,9575,0,49,0,599919,599729,190,230850,93491,21.61170379043508
1969:Q2,753709,713704,591182,288553,302629,66998,3553,63445,7506,48018,40004,18546,0,0,400,400,0,3667,100,3567,8345,9046,8372,674,0,0,144839,134786,21026,14715,99044,10003,0,50,0,608870,608676,194,235522,95696,22.13704934695578
1969:Q3,762033,721309,598403,291848,306555,68456,3651,64805,7645,46805,40724,18562,0,0,450,450,0,3685,200,3485,8705,9322,8639,683,0,0,149191,138610,21617,14877,102116,10529,0,52,0,612842,612644,198,237761,97731,22.61751990296442
1969:Q4,775416,734622,609003,297781,311222,69959,3755,66204,7756,47903,40794,18578,0,0,500,500,0,4012,300,3712,8110,9594,8899,695,0,0,151950,141905,21874,15125,104907,9992,0,53,0,623466,623263,203,242471,100263,22.76072532536293
1970:Q1,785604,744225,616240,300575,315665,71413,3856,67557,7892,48680,41379,18607,200,0,550,550,0,3814,400,3414,8331,9877,9169,709,0,0,152766,135076,21835,15856,97384,10013,0,54,7623,632839,632629,210,244976,102099,21.34440119992008
1970:Q2,808657,766813,637157,314124,323033,72836,3970,68866,7932,48888,41844,18633,600,0,600,600,0,3978,500,3478,7860,10173,9446,727,0,0,158050,140022,22451,16452,101120,10208,0,56,7763,650607,650391,216,256851,106162,21.52179156334789
1970:Q3,809127,766767,636223,310273,325950,74170,4066,70104,8028,48346,42360,18659,1000,0,650,650,0,4180,600,3580,7418,10453,9720,733,0,0,163024,144693,22522,16467,105704,10168,0,58,8105,646102,645880,222,252503,107339,22.39477746612668
1970:Q4,821323,778647,648064,316586,331478,75679,4181,71498,8142,46762,42676,18687,1400,0,700,700,0,4529,700,3829,6623,10737,9979,758,0,0,166512,148557,22287,16635,109636,9315,0,59,8581,654811,654582,229,257574,110096,22.68701464797169
1971:Q1,847955,801879,666254,327190,339064,77253,4297,72956,8282,50090,46077,18715,1800,0,750,750,0,4431,975,3456,8333,12047,10273,775,0,1000,173056,152694,22836,17423,112435,10966,0,60,9335,674900,674669,231,267076,113289,22.62473592591646
1971:Q2,870878,822799,684249,337016,347233,78606,4415,74191,8288,51656,48079,18742,2200,0,800,800,0,4816,1275,3541,8152,13369,10574,795,0,2000,180927,160360,23780,18025,118555,10455,311,61,9739,689951,689717,234,275570,116862,23.24229675001749
