1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q4,94349,90680,87083,755,759,499,743,841,3669,ND,ND,3523,31,31,20,30,34,13224,8788,229,305,537,466,36,134,0,0,10495,2286,59,79,140,121,9,35,0,0,2729,ND,ND
1971:Q1,93028,89410,85682,803,812,510,752,851,3618,ND,ND,3468,32,33,21,30,34,13449,8953,231,309,539,467,37,138,0,0,10674,2327,60,80,140,122,10,36,0,0,2775,ND,ND
1971:Q2,95439,91727,87863,852,869,522,760,861,3712,ND,ND,3556,34,35,21,31,35,13624,9072,234,314,540,470,39,144,0,0,10813,2359,61,81,141,122,10,37,0,0,2811,ND,ND
1971:Q3,97825,94021,90017,903,928,534,768,871,3804,ND,ND,3641,37,38,22,31,35,13332,8823,237,318,542,472,40,149,0,0,10581,2292,62,83,141,123,11,39,0,0,2751,ND,ND
1971:Q4,103902,99861,95705,959,993,547,777,880,4041,ND,ND,3873,39,40,22,31,36,13622,8874,240,344,608,527,40,178,0,0,10811,2307,62,90,158,137,11,46,0,0,2811,ND,ND
1972:Q1,101047,97117,92802,1018,1062,559,785,891,3930,ND,ND,3755,41,43,23,32,36,13413,8689,244,349,610,529,42,182,0,0,10645,2260,63,91,158,138,11,47,0,0,2768,ND,ND
1972:Q2,102790,98792,94309,1080,1136,572,794,901,3998,ND,ND,3817,44,46,23,32,36,13670,8878,248,353,611,531,44,184,0,0,10849,2309,64,92,159,138,11,48,0,0,2821,ND,ND
1972:Q3,104982,100899,96238,1147,1215,585,803,911,4083,ND,ND,3894,46,49,24,33,37,14061,9173,252,357,613,533,45,187,0,0,11160,2386,65,93,159,138,12,48,0,0,2901,ND,ND
1972:Q4,125510,120629,115780,1217,1299,599,812,922,4881,ND,ND,4685,49,53,24,33,37,14737,9481,256,393,693,601,46,226,0,0,11696,2465,67,102,180,156,12,59,0,0,3041,ND,ND
1973:Q1,109828,105557,100509,1292,1390,613,821,932,4271,ND,ND,4067,52,56,25,33,38,15694,10232,277,397,694,602,48,206,0,0,12456,2659,72,103,181,157,12,54,0,0,3238,ND,ND
1973:Q2,112746,108361,103102,1372,1486,628,830,943,4385,ND,ND,4173,55,60,25,34,38,16895,11136,308,411,700,609,52,193,0,0,13409,2895,80,107,182,158,14,50,0,0,3486,ND,ND
1973:Q3,114821,110356,104878,1455,1589,642,839,953,4465,ND,ND,4243,59,64,26,34,39,17428,11509,333,425,706,615,57,187,0,0,13832,2992,86,111,183,160,15,49,0,0,3596,ND,ND
1973:Q4,126246,121336,115623,1545,1699,656,849,964,4910,ND,ND,4679,62,69,27,34,39,17845,11576,348,461,817,705,54,202,0,0,14163,3011,90,120,212,183,14,52,0,0,3682,ND,ND
1974:Q1,125396,120519,114556,1640,1817,672,858,976,4877,ND,ND,4636,66,74,27,35,39,19629,13011,378,475,756,711,59,189,0,0,15579,3383,98,124,196,185,15,49,0,0,4050,ND,ND
1974:Q2,127524,122565,116340,1741,1943,687,868,986,4959,ND,ND,4707,70,79,28,35,40,20168,13415,408,532,694,659,58,240,0,0,16006,3489,106,138,181,171,15,62,0,0,4162,ND,ND
1974:Q3,131984,126851,120347,1847,2078,704,877,998,5133,ND,ND,4870,75,84,28,36,40,21778,14671,439,588,633,606,57,290,0,0,17284,3814,114,153,165,158,15,75,0,0,4494,ND,ND
1974:Q4,135298,130036,123237,1961,2222,720,887,1009,5262,ND,ND,4987,79,90,29,36,41,22606,15314,467,673,556,474,44,413,0,0,17941,3981,121,175,145,123,12,108,0,0,4665,ND,ND
1975:Q1,139407,133985,126873,2081,2377,736,897,1021,5422,ND,ND,5135,84,96,30,36,41,22884,15404,463,729,592,505,44,425,0,0,18162,4005,120,190,154,131,11,111,0,0,4722,ND,ND
1975:Q2,143681,138093,130649,2209,2542,754,907,1032,5588,ND,ND,5287,89,103,30,37,42,23754,16014,459,734,628,536,44,437,0,0,18852,4164,119,191,163,139,12,114,0,0,4902,ND,ND
1975:Q3,145176,139530,131735,2345,2718,771,917,1044,5646,ND,ND,5331,95,110,31,37,42,23840,16002,455,739,664,567,45,449,0,0,18921,4161,118,192,172,147,12,117,0,0,4919,ND,ND
1975:Q4,149542,143726,135561,2488,2906,788,927,1056,5816,ND,ND,5484,101,118,32,38,43,25209,17056,450,692,701,597,48,463,0,0,20007,4434,117,180,182,155,13,121,0,0,5202,ND,ND
1976:Q1,153575,147602,139041,2641,3108,806,938,1068,5973,ND,ND,5626,107,126,33,38,43,26681,18135,453,697,736,640,49,465,0,0,21175,4714,118,181,192,167,13,121,0,0,5506,ND,ND
1976:Q2,155902,149839,140857,2804,3324,826,948,1080,6063,ND,ND,5700,113,135,33,38,44,27767,18837,456,722,788,684,51,499,0,0,22037,4897,119,188,205,178,13,130,0,0,5730,ND,ND
1976:Q3,159203,153011,143610,2950,3555,845,958,1093,6192,ND,ND,5812,119,144,34,39,44,28766,19469,460,748,840,728,52,533,0,0,22830,5063,119,194,218,189,14,139,0,0,5936,ND,ND
1976:Q4,222283,213638,203740,3158,3802,864,969,1105,8645,ND,ND,8244,128,154,35,39,45,47528,34129,463,793,906,771,56,603,0,0,37721,8872,120,206,236,201,15,157,0,0,9807,ND,ND
1977:Q1,224340,215615,205216,3352,4065,884,980,1118,8725,ND,ND,8303,136,165,36,40,45,48508,34742,460,818,958,815,58,647,0,0,38498,9034,119,213,249,212,15,168,0,0,10010,ND,ND
1977:Q2,228345,219465,208534,3558,4348,904,991,1130,8880,ND,ND,8437,144,176,37,40,46,49473,35397,456,845,980,833,59,694,0,0,39264,9202,119,220,255,217,15,181,0,0,10209,ND,ND
1977:Q3,231022,222037,210540,3777,4650,926,1001,1143,8985,ND,ND,8520,153,188,37,41,46,50496,36095,453,872,1002,852,60,742,0,0,40076,9385,118,227,261,221,15,193,0,0,10420,ND,ND
1977:Q4,248299,236508,224410,4009,4973,947,1013,1156,11791,ND,ND,11302,162,201,38,41,47,55413,39878,494,929,994,846,61,777,0,0,43979,10368,129,241,258,220,16,202,0,0,11434,ND,ND
1978:Q1,253173,241207,228662,4237,5143,979,1055,1131,11966,ND,ND,11458,171,208,40,43,46,56768,40851,521,956,1016,864,62,784,0,0,45054,10622,135,248,264,225,16,204,0,0,11714,ND,ND
