1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q3,53703,16372,0,5394,1641,762,762,0,0,320,28816,14,28802,11911,16891,0,0,0,0,0,0,0,0,0,398,0,398,52821,17105,4270,30769,916,405,511,0,0,0,273,29580,0,0,0,677,0,462,215,14,0,0
1962:Q4,55703,16011,0,5411,2903,37,37,0,0,400,30530,52,30478,15624,14854,0,0,0,0,0,0,0,0,0,411,0,411,54874,17454,4519,32090,977,380,597,0,0,0,292,30821,0,0,0,811,0,467,344,52,0,0
1963:Q1,53842,15923,0,5422,1223,194,194,0,0,320,30366,29,30337,16046,14291,0,0,0,0,0,0,0,0,0,394,0,394,52920,16410,4210,31740,1291,440,851,0,0,0,219,30230,0,0,0,560,0,478,82,29,0,0
1963:Q2,55364,15753,0,5431,1638,96,96,0,0,220,31850,23,31827,17786,14041,0,0,0,0,0,0,0,0,0,376,0,376,54434,16965,3483,33381,1175,369,806,0,0,0,219,31987,0,0,0,605,0,481,124,23,0,0
1963:Q3,55468,15601,0,5432,1435,465,465,0,0,120,32023,16,32007,14032,17975,0,0,0,0,0,0,0,0,0,392,0,392,54523,16621,4550,32798,1328,388,940,0,0,0,180,31290,0,0,0,554,0,487,67,16,0,0
1963:Q4,57773,15614,0,5422,2600,31,31,0,0,103,33652,70,33582,11207,22375,0,0,0,0,0,0,0,0,0,351,0,351,56887,17049,4259,34890,1241,361,880,0,0,0,216,33433,0,0,0,689,0,497,192,70,0,0
1964:Q1,56636,15721,0,5423,1497,55,55,0,0,280,33223,40,33183,7413,25770,0,0,0,0,0,0,0,0,0,437,0,437,55632,16611,4500,33905,1516,415,1101,0,0,0,174,32215,0,0,0,616,0,508,108,40,0,0
1964:Q2,57898,15538,0,5422,1633,79,79,0,0,360,34517,23,34494,5171,29323,0,0,0,0,0,0,0,0,0,349,0,349,56883,16973,4539,34721,1330,391,939,0,0,0,196,33195,0,0,0,650,0,513,137,23,0,0
1964:Q3,58545,15581,0,5397,1567,93,93,0,0,440,35009,59,34950,4967,29983,0,0,0,0,0,0,0,0,0,458,0,458,57519,17121,4780,34920,1367,434,933,0,0,0,175,33378,0,0,0,698,0,518,180,59,0,0
1964:Q4,61146,15638,0,5249,2606,156,156,0,0,573,36565,59,36506,6044,30462,0,0,0,0,0,0,0,0,0,359,0,359,60723,17850,4532,36942,1586,612,974,0,0,0,269,35087,0,0,0,1399,0,524,875,59,0,0
