1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1982:Q1,24248,5454,18794,4306,5367,9121,35398,13881,0,4306,5407,4168,5454,16063,11150,-40,4953,-11150
1982:Q2,24873,5351,19522,4461,6062,8999,36022,14782,0,4461,6101,4220,5351,15889,11149,-39,4779,-11149
1982:Q3,25099,5254,19845,4809,6406,8630,36247,14760,0,4809,6437,3514,5254,16233,11148,-31,5116,-11148
1982:Q4,28215,5405,22810,5250,7348,10212,39363,17076,0,5250,7378,4448,5405,16882,11148,-30,5764,-11148
1983:Q1,28408,5285,23123,5229,9293,8601,39546,18173,0,5229,9305,3639,5285,16088,11138,-12,4962,-11138
1983:Q2,27979,5234,22745,5478,9413,7854,39110,18459,0,5478,9449,3532,5234,15417,11131,-36,4322,-11131
1983:Q3,27116,5178,21938,5628,9399,6911,38244,18255,0,5628,9437,3190,5178,14811,11128,-38,3721,-11128
1983:Q4,27756,5130,22626,5025,11312,6289,38877,18986,0,5025,11360,2601,5130,14761,11121,-48,3688,-11121
1984:Q1,29078,5214,23864,5341,11706,6817,40189,19888,0,5341,11741,2806,5214,15087,11111,-35,4011,-11111
1984:Q2,28499,5052,23447,5459,11659,6329,39599,19764,0,5459,11709,2596,5052,14783,11100,-50,3733,-11100
1984:Q3,28104,4895,23209,5554,11619,6036,39201,19734,0,5554,11666,2514,4895,14572,11097,-47,3522,-11097
1984:Q4,28641,4803,23838,5641,11541,6656,39737,20307,0,5641,11607,3059,4803,14627,11096,-66,3597,-11096
1985:Q1,29257,4857,24400,5973,11386,7041,40350,20469,0,5973,11426,3070,4857,15024,11093,-40,3971,-11093
1985:Q2,29888,4891,24997,6196,11394,7407,40978,20897,-1,6196,11444,3258,4891,15190,11091,-50,4149,-11090
1985:Q3,32395,5191,27204,6847,11686,8671,43485,22289,0,6847,11734,3708,5191,16005,11090,-48,4963,-11090
1985:Q4,37483,5382,32101,7293,11952,12856,48573,25129,0,7293,11996,5840,5382,18062,11090,-44,7016,-11090
1986:Q1,39406,5577,33829,7839,12025,13965,50496,26196,0,7839,12065,6292,5577,18723,11090,-40,7673,-11090
1986:Q2,41321,5770,35551,8213,12109,15229,52405,27405,0,8213,12163,7029,5770,19230,11084,-54,8200,-11084
1986:Q3,42948,5945,37003,8295,11922,16786,54032,27928,0,8295,11973,7660,5945,20159,11084,-51,9126,-11084
1986:Q4,43440,5993,37447,8395,11730,17322,54504,28032,0,8395,11790,7847,5993,20479,11064,-60,9475,-11064
1987:Q1,44042,6299,37743,8740,11711,17292,55123,28338,0,8740,11773,7825,6299,20486,11081,-62,9467,-11081
1987:Q2,40333,6262,34071,8856,11313,13902,51402,24962,0,8856,11381,4725,6262,20178,11069,-68,9177,-11069
1987:Q3,40265,6270,33995,9078,10918,13999,51340,26958,0,9078,10982,6898,6270,18112,11075,-64,7101,-11075
1987:Q4,41673,6951,34722,10283,11349,13090,52751,29112,0,10283,11415,7414,6951,16688,11078,-66,5676,-11078
1988:Q1,38920,6797,32123,9899,10645,11579,49983,25533,0,9899,10707,4927,6797,17653,11063,-62,6652,-11063
1988:Q2,36386,6421,29965,9180,9992,10793,47449,23799,0,9180,10052,4567,6421,17229,11063,-60,6226,-11063
1988:Q3,43048,6322,36726,9074,9637,18015,54110,27264,0,9074,9703,8487,6322,20524,11062,-66,9528,-11062
1988:Q4,43338,6593,36745,9637,9745,17363,54395,27671,-3,9637,9803,8234,6593,20131,11060,-58,9129,-11057
1989:Q1,45473,6334,39139,9789,9052,20298,56534,28725,0,9789,9123,9813,6334,21475,11061,-71,10485,-11061
1989:Q2,55892,6107,49785,9380,8888,31517,66955,30632,0,9380,8948,12304,6107,30216,11063,-60,19213,-11063
1989:Q3,63969,6270,57699,9833,8786,39080,75034,31356,0,9833,8854,12669,6270,37408,11065,-68,26411,-11065
1989:Q4,69989,6439,63550,9951,9048,44551,81048,32275,0,9951,9106,13218,6439,42334,11059,-58,31333,-11059
1990:Q1,71616,6373,65243,10092,8727,46424,82676,31852,0,10092,8788,12972,6373,44451,11060,-61,33452,-11060
1990:Q2,72719,6486,66233,10490,8449,47294,83784,32067,0,10490,8508,13069,6486,45231,11065,-59,34225,-11065
1990:Q3,75784,6823,68961,10666,8881,49414,86847,34568,0,10666,8942,14960,6823,45456,11063,-61,34454,-11063
1990:Q4,79228,6970,72258,10989,9076,52193,90286,39684,0,10989,9135,19560,6970,43632,11058,-59,32633,-11058
1991:Q1,73540,6596,66944,10368,8910,47666,84598,36904,0,10368,8966,17570,6596,41098,11058,-56,30096,-11058
1991:Q2,70319,6441,63878,10309,8629,44940,81381,35258,0,10309,8691,16258,6441,39682,11062,-62,28682,-11062
1991:Q3,70372,6703,63669,10722,9094,43853,81434,37793,0,10722,9157,17914,6703,36938,11062,-63,25939,-11062
1991:Q4,73670,7008,66662,11240,9488,45934,84727,39097,-2,11240,9551,18308,7008,38622,11059,-63,27626,-11057
1992:Q1,70321,6721,63600,10947,8994,43659,81378,37607,0,10947,9061,17599,6721,37050,11057,-67,26060,-11057
1992:Q2,73045,7012,66033,11597,9381,45055,84104,41615,-1,11597,9451,20568,7012,35477,11060,-70,24487,-11059
1992:Q3,74684,7216,67468,12111,9778,45579,85743,43109,1,12111,9850,21147,7216,35418,11058,-72,24432,-11059
1992:Q4,67004,6737,60267,8503,11759,40005,78060,38847,0,8503,11853,18491,6737,32476,11056,-94,21514,-11056
1993:Q1,70172,6848,63324,8787,12184,42353,81226,41089,0,8787,12277,20025,6848,33289,11054,-93,22328,-11054
1993:Q2,69788,6877,62911,8987,11926,41998,80845,40682,0,8987,12031,19664,6877,33286,11057,-105,22334,-11057
1993:Q3,71727,6949,64778,9203,12101,43474,82784,41605,0,9203,12200,20202,6949,34230,11057,-99,23272,-11057
1993:Q4,69119,6730,62389,9039,11818,41532,80172,40151,0,9039,11920,19192,6730,33291,11053,-102,22340,-11053
1994:Q1,72678,6921,65757,9383,12135,44239,83730,42559,0,9383,12234,20942,6921,34250,11052,-99,23297,-11052
1994:Q2,71776,7096,64680,9731,12184,42765,82828,42371,0,9731,12283,20357,7096,33361,11052,-99,22408,-11052
1994:Q3,72667,7189,65478,9971,12067,43440,83721,42379,0,9971,12165,20243,7189,34153,11054,-98,23197,-11054
1994:Q4,70437,7153,63284,10039,12030,41215,81488,41351,0,10039,12128,19184,7153,32984,11051,-98,22031,-11051
1995:Q1,83354,7646,75708,11651,13418,50639,94407,50519,0,11651,13515,25353,7646,36242,11053,-97,25286,-11053
1995:Q2,86695,7686,79009,11869,14276,52864,97749,55145,0,11869,14373,28903,7686,34918,11054,-97,23961,-11054
1995:Q3,83481,7380,76101,11035,14681,50385,94532,54544,0,11035,14777,28732,7380,32608,11051,-96,21653,-11051
1995:Q4,82065,7283,74782,11037,14649,49096,93115,53779,0,11037,14745,27997,7283,32053,11050,-96,21099,-11050
1996:Q1,80315,7159,73156,11046,15249,46861,91368,53266,0,11046,15344,26876,7159,30943,11053,-95,19985,-11053
1996:Q2,79411,7072,72339,10980,15282,46077,90461,52880,0,10980,15377,26523,7072,30509,11050,-95,19554,-11050
1996:Q3,71511,7052,64459,10177,15421,38861,82561,45069,0,10177,15515,19377,7052,30440,11050,-94,19484,-11050
1996:Q4,71086,7045,64041,10312,15435,38294,82135,44872,1,10312,15529,19030,7045,30218,11048,-94,19264,-11049
1997:Q1,62967,6795,56172,9879,13846,32447,74017,38315,0,9879,13939,14497,6795,28907,11050,-93,17950,-11050
1997:Q2,63564,6801,56763,10023,13805,32935,74614,38886,0,10023,13898,14965,6801,28927,11050,-93,17970,-11050
1997:Q3,62787,6689,56098,9997,14042,32059,73837,38599,0,9997,14135,14467,6689,28549,11050,-93,17592,-11050
1997:Q4,65518,6611,58907,10027,18071,30809,76568,41957,3,10027,18164,13763,6611,28000,11047,-93,17046,-11050
1998:Q1,64849,6545,58304,10108,17976,30220,75898,41682,0,10108,18065,13509,6545,27671,11049,-89,16711,-11049
1998:Q2,66638,6524,60114,10001,18945,31168,77685,42836,0,10001,19033,13802,6524,28325,11047,-88,17366,-11047
1998:Q3,71351,6719,64632,10106,21644,32882,82395,46269,0,10106,21729,14434,6719,29407,11044,-85,18448,-11044
1998:Q4,77614,6899,70715,10603,24111,36001,88655,51037,-5,10603,24205,16234,6899,30719,11046,-94,19767,-11041
1999:Q1,69963,6653,63310,9682,23231,30397,81012,48262,0,9682,23354,15226,6653,26097,11049,-123,15171,-11049
1999:Q2,67188,6545,60643,9719,21462,29462,78234,45974,0,9719,21592,14663,6545,25715,11046,-130,14799,-11046
1999:Q3,69166,6799,62367,10284,19978,32105,80213,46378,0,10284,20094,16000,6799,27036,11047,-116,16105,-11047
1999:Q4,67193,6725,60468,10336,17950,32182,78241,44452,0,10336,18074,16042,6725,27064,11048,-124,16140,-11048
2000:Q1,66340,6599,59741,10335,17871,31535,77388,44052,0,10335,17985,15732,6599,26737,11048,-114,15803,-11048
2000:Q2,63461,6552,56909,10444,15428,31037,74507,41473,0,10444,15542,15487,6552,26482,11046,-114,15550,-11046
2000:Q3,61569,6359,55210,10316,13685,31209,72615,39682,0,10316,13799,15567,6359,26574,11046,-114,15642,-11046
2000:Q4,62985,6384,56601,10539,14824,31238,74031,41051,0,10539,14944,15568,6384,26596,11046,-120,15670,-11046
2001:Q1,59353,6177,53176,10379,13777,29020,70399,38741,0,10379,13896,14466,6177,25481,11046,-119,14554,-11046
2001:Q2,59906,6103,53803,10409,14619,28775,70950,39495,0,10409,14739,14347,6103,25352,11044,-120,14428,-11044
2001:Q3,66234,6316,59918,10919,18404,30595,77278,44666,-1,10919,18519,15229,6316,26296,11045,-115,15366,-11044
2001:Q4,63766,6157,57609,10774,17854,28981,74811,43164,0,10774,17968,14422,6157,25490,11045,-114,14559,-11045
2002:Q1,62639,6109,56530,10809,17078,28643,73683,42247,0,10809,17174,14264,6109,25327,11044,-96,14379,-11044
2002:Q2,70171,6519,63652,11645,19841,32166,81215,47606,0,11645,19956,16005,6519,27090,11044,-115,16161,-11044
2002:Q3,71299,6481,64818,11710,20857,32251,82341,48815,4,11710,20980,16121,6481,27045,11038,-123,16130,-11042
2002:Q4,74457,6661,67796,12166,21979,33651,85500,50977,4,12166,22069,16738,6661,27862,11039,-90,16913,-11043
2003:Q1,75737,6731,69006,11392,22858,34756,86780,51745,5,11392,22975,17373,6731,28304,11038,-117,17383,-11043
2003:Q2,77480,6864,70616,11720,23210,35686,88524,52934,4,11720,23373,17837,6864,28726,11040,-163,17849,-11044
