1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1987:Q2,-52867,-47,4670,-3492,-14685,4085,1456,5,2624,-19423,7507,-15882,-15599,9639,5959
1987:Q3,-48917,-3,3394,9191,2870,-6013,337,5,-6354,-8974,4172,-54933,1378,-94,-1284
1987:Q4,-49243,-51,5512,-9520,-7872,11409,-1265,4,12669,41946,-788,-74915,-14964,16480,-1515
1988:Q1,-35933,-33,-4408,-1184,7269,-3537,1450,0,-4986,-27370,-6410,-1888,1626,596,-2222
1988:Q2,-22395,-62,1352,2851,-1784,445,-1702,0,2147,-30316,11315,-273,-5924,-1206,7130
1988:Q3,-30463,-16,2634,1241,-5129,-4852,-626,0,-4226,-16543,34,-14759,6927,-5916,-1011
1988:Q4,-71291,0,801,-3401,-6840,10412,2510,0,7902,38738,-999,-102693,-7309,9531,-2223
1989:Q1,11314,-97,16879,6045,8650,-7579,-567,0,-7012,-24917,-8388,26426,-5704,7259,-1555
1989:Q2,-577,-37,11012,-7934,2237,7017,2731,0,4286,-19914,15074,14001,-22034,14276,7758
1989:Q3,5682,-62,1075,510,-2538,-1403,6039,0,-7442,-6790,-170,27348,-12288,13877,-1588
1989:Q4,5501,-65,9535,-5947,-7526,8183,200,0,7983,45233,-6028,-8210,-29674,32582,-2908
1990:Q1,-104731,-64,-7130,4052,-13245,-935,2106,0,-3041,-24029,-3510,-32360,-27509,29967,-2458
1990:Q2,-14937,-64,10936,356,1425,4766,-97,0,4863,-30134,12020,14962,-29205,21085,8119
1990:Q3,-70675,-56,10784,-1922,-22304,-2394,1787,0,-4181,-16126,4164,-25816,-17005,18240,-1235
1990:Q4,-62742,362,11202,-6219,-3772,10367,-451,0,10817,61051,-2833,-109101,-23800,26259,-2460
1991:Q1,-12145,-470,-7962,6563,-27187,-10071,-7814,0,-2257,-16326,-12137,68205,-12760,15276,-2516
