1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1989:Q3,11444,-500,4526,0,863,7933,185,3317,2900,1531,1330,-3083,18,357,636,1150,7878,-9307,11469
1989:Q4,11775,-669,-460,0,-976,12702,-1726,5600,5183,3645,1861,-5717,98,4936,-1905,1066,1789,3986,11800
1990:Q1,12088,-400,-1601,0,-466,2750,-466,-8500,10425,1291,76,3425,106,8198,-1840,950,15242,-6154,12109
1990:Q2,12828,-200,-667,0,-117,10493,-117,3277,3681,3652,531,-3183,223,5748,-1145,450,5500,943,12849
1990:Q3,13425,100,-945,0,-240,9830,-240,3137,3510,3423,490,-5193,-19,9402,-2222,550,17234,-6160,13445
1990:Q4,13625,-19,-2333,0,-906,7432,-906,2644,2907,2787,373,5188,84,3806,-1007,853,17206,-13246,13644
1991:Q1,13304,-10,-399,0,-478,8378,-478,-9078,13216,4718,-1647,1866,294,5300,-806,1750,6028,-1672,13319
1991:Q2,13239,-15,1231,0,327,-802,327,-1002,-1713,1586,-1959,3869,308,10280,-841,2500,2895,5726,13253
1991:Q3,13019,-15,1288,0,404,12505,404,2533,3591,5977,-1287,-3843,370,3597,-701,2250,2381,-333,13032
1991:Q4,12578,-10,3338,0,1584,-545,1584,-1365,-2256,1492,-1858,78,441,9550,148,1663,13360,-5621,12591
1992:Q1,12052,-3,-2716,0,-410,6244,-410,-10831,12005,5480,-782,-18852,1084,27487,-1679,1407,37658,-9899,12064
1992:Q2,11822,10,-2034,0,-71,3320,-71,-381,-765,4537,-879,6930,1260,3286,-585,1342,-2239,4768,11834
1992:Q3,11988,12,-2414,0,-411,6481,-411,395,673,5824,-713,-10271,-515,19819,-5436,1367,25408,-1520,12000
1992:Q4,12281,5,-1968,0,-172,4168,-172,-207,-445,4992,-733,3179,970,6832,-7278,1451,12711,-52,12293
1993:Q1,12409,-6,1710,0,193,9647,193,-10138,14935,4657,-130,15733,672,-15410,-1689,1567,-17107,1819,12422
1993:Q2,12914,-12,1302,0,-157,4236,-157,404,1082,2907,-275,-6380,1313,12887,-2690,1767,14470,-660,12926
1993:Q3,13262,-17,1183,0,-260,10652,-260,9677,-3947,5182,-91,-7992,1191,8596,-2582,1967,10317,-1106,13274
1993:Q4,13276,30,2254,0,207,-204,207,-5540,3877,1252,-904,9073,1447,1373,-1184,2067,-18,508,13290
1994:Q1,12927,123,1666,0,-1354,-404,-1354,-2775,3666,59,-529,-9143,1400,21168,-290,1800,26038,-6380,12939
1994:Q2,13048,172,1966,0,-1083,13603,-1083,3942,9337,1407,-423,4609,1152,-6948,740,1600,-14819,5531,13061
1994:Q3,13314,173,2129,0,-939,15610,-939,6319,11546,-1316,-648,9477,1130,-13618,-3737,1400,-13324,2043,13327
1994:Q4,13563,319,7301,0,-812,10497,-812,2630,6137,2542,-2149,-8749,12558,-5402,11725,1375,-16314,-2188,13577
1995:Q1,13475,66,2022,0,-107,6123,-107,539,1149,4542,29,-6586,4808,7120,-5665,410,12693,-318,13490
1995:Q2,13635,69,2073,0,-108,4103,-108,154,252,3805,29,-8872,3962,12379,-953,411,13239,-318,13650
1995:Q3,13439,69,2100,0,-107,5186,-107,338,678,4277,29,-24999,2453,28708,-1910,410,30526,-318,13455
1995:Q4,12781,69,2077,0,-108,6309,-108,524,1115,4778,29,-19731,2940,21196,-2158,411,23261,-318,12797
1996:Q1,11948,73,3454,0,843,1526,843,-515,-1309,2507,29,-20021,1752,24292,1024,410,20326,2532,11962
1996:Q2,11477,71,3420,0,843,5140,843,117,163,4017,28,-21465,1683,21757,1024,410,17791,2532,11491
1996:Q3,11602,71,3444,0,842,-10085,842,-3011,-4632,-3284,30,-13493,1574,29219,2264,410,24013,2532,11617
1996:Q4,12078,-65,3947,0,479,-7833,479,-1671,-6510,-131,-44,-8107,2621,21080,-1630,409,20863,1438,12094
1997:Q1,12474,214,5002,0,-425,7524,-424,720,1573,5655,32,-24433,4285,20275,-2174,2137,21580,-1268,12490
1997:Q2,13191,106,4171,0,328,8442,328,744,1626,5744,33,-24008,-2205,26324,-1689,1156,25868,989,13207
1997:Q3,13568,334,4578,0,-177,9489,-176,1005,2238,6422,51,-23362,1002,21653,-2545,1152,23572,-526,13585
1997:Q4,13405,-231,3005,0,341,11366,344,750,1642,8630,384,-33502,4171,27871,1135,927,24777,1032,13422
1998:Q1,12771,118,4451,0,70,-8694,77,-5623,-4750,1602,-20,-12465,-518,29829,-1041,2713,27932,225,12791
1998:Q2,12614,114,4259,0,48,-10902,63,-4786,-3302,-2877,-7,-16886,5341,30647,-2453,2688,30242,170,12635
1998:Q3,12700,113,3961,0,5,-7849,36,-5185,-4943,2243,-3,-20679,10829,26323,1130,2559,22570,64,12721
1998:Q4,12909,212,3772,0,-82,4121,-29,-5030,-5246,14426,-346,-2506,-7841,15579,-100,76,15763,-160,12931
1999:Q1,12890,-557,-3236,0,177,15026,266,4011,6095,4654,1,-43382,5045,39816,-1164,-402,39464,1918,12908
1999:Q2,13129,200,-3790,0,30,26579,168,7809,8399,10203,2,-36134,-1416,27658,-2654,-1255,28765,2802,13147
1999:Q3,13005,151,-4725,0,-153,19221,46,6977,5901,6297,1,-33196,11202,20504,-1428,-2325,21913,2344,13023
1999:Q4,12413,428,-7953,0,-362,28207,-94,-151,10054,18398,1,-16197,-8919,17208,-6180,-3542,25108,1822,12431
2000:Q1,11689,122,-2648,0,-1276,-16105,-937,-2480,-4822,-7866,-96,37049,1835,-7192,204,-1942,-1293,-4161,11703
2000:Q2,11413,205,-8825,0,-1976,-25964,-1576,-1976,-8312,-14100,-264,2629,14488,31120,-599,-6472,42716,-4525,11428
2000:Q3,11880,455,-6472,0,-2620,-32263,-2177,-4255,-7967,-17864,-350,13928,15767,23435,-121,-4747,35532,-7229,11895
2000:Q4,12810,452,-5765,0,-3166,-48101,-2715,-2962,-16175,-26249,-551,31520,9653,28768,477,-4229,40977,-8457,12826
2001:Q1,13631,109,-11179,0,1566,13819,1990,4465,14909,-7545,854,-19901,-15782,44145,-1357,-8199,48660,5041,13646
2001:Q2,14686,140,-7060,0,-1152,-9713,-794,-1065,-2903,-4951,-84,29798,-14550,17307,-2499,-5178,28480,-3496,14701
2001:Q3,15187,168,-8237,0,-1027,-9256,-770,-1341,-3544,-3601,-101,18742,11294,3604,-5971,-6041,18515,-2899,15202
2001:Q4,14926,190,-8648,0,-853,-15068,-720,-2412,-6704,-5232,-44,10921,1462,26966,3501,-6343,31242,-1434,14938
2002:Q1,14120,-321,-2622,0,-708,-1614,-931,-1537,-5800,6654,174,-12600,18598,13213,3369,-1523,16487,-5120,14124
2002:Q2,13934,35,-1854,0,-46,11204,-326,-2619,3891,10258,-38,-12177,-1139,17949,9128,-2486,6920,4387,13937
2002:Q3,14246,50,-1536,0,202,-19674,-145,-2776,-7722,-9031,104,11086,3318,20696,2894,4702,11444,1656,14248
2002:Q4,14919,30,488,0,-76,-26596,-18,-5766,-8262,-12550,-25,-2259,-549,43906,6591,-5198,45991,-3478,14921
2003:Q1,15374,15,-4265,0,269,18503,196,6285,6249,5773,-133,25383,-18765,-5633,-771,2972,-10814,2980,15377
2003:Q2,16060,17,3357,0,286,16227,-2709,6147,7709,5080,-103,-11556,-7536,15368,5179,-2951,12947,193,16063
2003:Q3,16111,16,-2402,0,209,14298,-217,-2890,11030,6375,31,-17095,-7776,28830,-2114,-1354,36724,-4426,16114
2003:Q4,15356,20,5603,0,330,24347,1866,4804,10580,7097,132,-31678,-7570,24172,6508,1307,17704,-1347,15359
2004:Q1,14240,10,-2173,0,241,1855,-161,-3089,1029,4076,56,6175,4401,3675,-9973,-1162,13077,1733,14268
2004:Q2,13617,19,-8587,0,515,-949,30,306,3236,-4521,-40,-16787,5409,34037,3673,3443,20938,5983,13646
