1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2010:Q2,76594710,26033451,50561259,8173886,7574253,4770466,2803787,335648,811318,137771,80473,1438577,1079920,11969568,6930178,5039389,738816,1591750,99833,138213,2470777,21763632,14213557,62381153,9.888741357382752,14.98034845006408,15.62714649989225,23.67339698634249
2010:Q3,78549400,25899330,52650070,8236420,7652576,4671385,2981191,356588,862740,143093,85289,1533481,1089299,13472791,7789573,5683218,837972,1789382,111741,155119,2789004,22198983,14151418,64397982,9.742373997926371,14.53478851191187,17.15199789186119,25.58931344331714
2010:Q4,80124279,25682727,54441552,8336863,7634077,4637815,2996262,363787,863942,143887,85798,1538848,1089626,14829590,8545679,6283911,941496,1984922,128539,172765,3056189,22551395,14165548,65958731,9.527795432631617,14.02251980058042,18.50823522649702,27.23946969395319
2011:Q1,81198325,25444418,55753907,8483639,7475552,4525701,2949851,355697,847890,147523,82361,1516380,1092945,15836643,9159245,6677398,999224,2099241,136471,179089,3263373,22865128,14144265,67054060,9.20653436182841,13.40812170058343,19.50365685776944,28.40454339035956
2011:Q2,81555483,25377692,56177791,8611917,7497318,4617120,2880198,355696,858853,47118,81900,1536631,1137463,15699769,9047226,6652543,992549,2084107,137557,173770,3264560,23231325,14100162,67455321,9.192904734915546,13.34569712746542,19.25041493390239,27.94657561392196
2011:Q3,79741401,25291095,54450306,8733866,8034165,5080943,2953222,341291,869124,160537,78913,1503357,1145014,13064639,7596805,5467834,800674,1724205,111482,135916,2695557,23472623,14052469,65688932,10.07527476393589,14.75504147175827,16.38375833370718,23.99369142193776
2011:Q4,81013048,25230261,55782787,8945534,8116575,4961718,3154857,372965,910890,170719,83685,1616598,1079070,14043530,8105486,5938044,898490,1889467,118457,146015,2885615,23598078,14054486,66958562,10.01884935626812,14.55032217435572,17.33489886292531,25.17538235642135
2012:Q1,82972780,25131706,57841074,8989485,8128522,4774169,3354353,392431,962092,170393,88008,1741429,1073619,15827486,9095129,6732357,1011458,2120194,136321,162503,3301881,23821962,14009149,68963631,9.796612414180315,14.05319976463622,19.07551653067552,27.36374912935996
2012:Q2,82930110,25305287,57624823,8960634,8423898,4950365,3473533,400203,1002895,176852,89463,1804120,1085069,15186816,8801388,6385428,956162,2015601,130292,150758,3132615,23968405,13963731,68966379,10.15782864037106,14.61852382020232,18.31278933515959,26.35464296438439
2012:Q3,84849935,25601875,59248060,9033130,8713403,5065798,3647605,417920,1053090,181692,92649,1902254,1086853,16094159,9345721,6748438,1003454,2125381,137732,157029,3324842,24320515,13997173,70852762,10.26919251810533,14.70664720973395,18.96779175962689,27.16402689546601
2012:Q4,85905509,25850576,60054933,9410704,8725993,4983900,3742093,427067,1078346,187169,92631,1956880,1140833,16187890,9390495,6797395,999244,2134092,138312,155915,3369832,24589513,13994668,71910841,10.15766413931588,14.53001887194875,18.84383214850222,26.95513781340799
2013:Q1,88681488,26341054,62340434,9375845,8558862,4735550,3823312,432610,1099494,183557,93216,2014435,1122066,18091103,10651962,7439141,1080920,2331224,157254,166048,3703695,25192559,13953368,74728120,9.651238253507115,13.72923019449723,20.40008917576473,29.01985350745738
2013:Q2,89915304,26929718,62985586,9434407,7973062,4317197,3655865,411330,1066335,171678,88453,1918069,1186851,18487782,10926957,7560825,1087770,2387365,163293,167556,3754841,25903484,13964328,75950976,8.867302631845639,12.65855035729518,20.56132940552674,29.3524011189207
2013:Q3,92481144,27581921,64899223,9553042,7717002,4218865,3498137,401602,1063465,75880,85939,1871251,1176491,19649343,11517704,8131640,1163198,2570450,174197,178989,4044806,26803345,14040586,78440558,8.344405694504175,11.8907461458623,21.24686449511673,30.27670050526945
2013:Q4,94749079,28000840,66748239,9677225,7486930,3879251,3607679,398011,1068940,196329,85269,1859130,1216039,21031916,12159581,8872334,1266401,2813017,200731,193247,4398938,27336129,14224374,80524705,7.901850083855558,11.21667073818241,22.19748818063585,31.50931914610585
2014:Q1,96490969,28293558,68197411,9891776,7584779,3936665,3648114,395596,1083541,198312,83766,1886899,1262491,21877526,12840223,9037303,1271385,2846803,206521,191839,4520755,27580839,14205229,82285740,7.860609952765088,11.12179861786038,22.67313359494045,32.07970213431965
2014:Q2,98483920,28786550,69697370,9909620,7682568,3926127,3756441,404467,1116937,201007,83903,1950127,1250864,22971373,13579606,9391766,1301815,2956794,216237,194242,4722678,27882946,14303288,84180632,7.800834686432393,11.02275132692411,23.32499828713128,32.95873661662772
2014:Q3,99111534,29281790,69829744,10032385,7691000,3935997,3755003,400048,1121737,206159,81578,1945481,1278994,22539488,13326183,9213306,1272213,2907280,219523,185610,4628680,28287876,14304212,84807322,7.759944713093969,11.01393162249518,22.74153938499357,32.27777632925091
2014:Q4,100895908,29649447,71246461,10173115,7832839,3998340,3834499,408941,1141432,215291,81041,1987794,1275813,23331720,13913934,9417786,1297033,2986305,224380,185966,4724102,28632975,14370822,86525086,7.763287173422823,10.99400444814866,23.1245449206494,32.74789970276763
2015:Q1,102723599,30153908,72569691,10462870,7854065,3987074,3866991,416054,1162360,156312,83852,2048413,1273993,23927217,14268774,9658443,1306008,3047481,232182,193226,4879546,29051546,14335767,88387832,7.645823496038262,10.82278972067897,23.29281445610916,32.97136443077512
2015:Q2,103506936,30696406,72810530,10519425,7654939,3869956,3784983,409935,1152933,92937,82916,2046262,1240427,24000021,14306475,9693546,1298854,3051845,231843,192761,4918243,29395719,14470369,89036567,7.395580415759471,10.51350494798937,23.18687200665891,32.96229367622538
2015:Q3,102621813,31189855,71431958,10635717,7865298,4179017,3686281,403614,1152777,24074,81075,2024741,1230758,22018669,13168642,8850027,1200037,2799022,213988,173016,4463964,29681516,14536093,88085720,7.664353272316116,11.0108955487077,21.45612911054271,30.8246747144497
2015:Q4,104185667,31580357,72605310,10903002,7773029,3905715,3867314,401651,1144600,231719,81220,2008124,1206309,23011793,13739198,9272595,1268700,2942741,226553,182710,4651891,29711177,14564256,89621411,7.460747027798565,10.70586855119189,22.08729263660189,31.69436662818221
