1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q3,325739,3540,18058,900,95243,959,67184,4285,384,0,0,0,3901,17795,5020,0,0,0,0,5020,201610,59508,1334,112100,28668,1199,0,0,169,5020,299893,1093,987,593,-773,286,119912,7440,11297,99790,1385,166487,1093,1348,1348,0,1736,1137,7087,0,7087,0,ND
1960:Q4,334109,3346,17081,272,99543,1114,70347,4797,373,0,0,0,4424,18241,5044,0,0,0,0,5044,206471,61457,1622,114531,28861,1300,0,0,173,5923,307442,911,1868,25,-1090,108,123862,5945,11674,104594,1649,171681,104,1638,1638,0,1981,1474,5791,0,5791,0,ND
1961:Q1,334421,3630,15992,1269,100142,1321,69643,4979,374,0,0,0,4605,19135,5064,0,0,0,0,5064,207166,59167,1785,116550,29664,1445,0,0,177,4600,307485,-381,755,106,-1428,186,117734,4160,11703,99765,2106,177090,1331,1802,1802,0,1477,1381,7051,0,7051,0,ND
1961:Q2,342260,2903,16716,267,101716,1413,71610,4968,406,0,0,0,4562,18802,4923,0,0,0,0,4923,211640,60157,1817,119814,29852,1438,0,0,182,7398,314454,-218,1171,35,-1679,255,119417,6362,11849,99204,2002,183522,306,1835,1835,0,1869,969,6754,0,6754,0,ND
1961:Q3,353408,3870,16310,1389,107727,1697,75977,4909,425,0,0,0,4484,20328,4816,0,0,0,0,4816,216643,61167,1938,123331,30207,1477,0,0,186,5806,325151,473,1300,82,-1131,222,123369,7750,11639,101844,2136,187108,1613,1957,1957,0,2124,788,7719,0,7719,0,ND
1961:Q4,364132,3689,17387,233,109658,2019,76484,5459,411,0,0,0,5048,21022,4674,0,0,0,0,4674,224962,65339,2146,126750,30727,1600,0,0,190,6413,335045,1440,2300,115,-849,-126,128898,5946,12242,108124,2586,191720,267,2168,2168,0,2662,582,7308,0,7308,0,ND
1962:Q1,365587,3900,16786,1532,109762,1908,74946,5848,435,0,0,0,5413,22348,4712,0,0,0,0,4712,226463,64099,1998,129616,30750,1582,0,0,195,5367,336568,-768,918,170,-1851,-5,122141,6260,11732,101265,2884,199897,1688,2018,2018,0,2151,713,8728,0,8728,0,ND
1962:Q2,375080,3185,17206,488,110759,1687,74650,6159,452,0,0,0,5707,23747,4516,0,0,0,0,4516,234381,66008,1874,134234,32265,1232,0,0,199,7630,345478,-499,1462,43,-1962,-42,124503,9554,11814,100321,2814,207218,557,1892,1892,0,2767,746,8294,0,8294,0,ND
1962:Q3,383679,4270,17105,1154,111415,1826,74555,5893,490,0,0,0,5403,24656,4485,0,0,0,0,4485,241050,67357,1825,138987,32881,1328,0,0,204,7153,353859,1226,1641,762,-1131,-46,124605,8090,11509,102642,2364,211759,1386,1843,1843,0,3046,979,9015,0,9015,0,ND
1962:Q4,399331,4519,17454,589,116047,1867,76653,6967,494,0,0,0,6473,25987,4573,0,0,0,0,4573,251579,72484,2120,143378,33597,1500,0,0,209,7434,368539,218,2903,37,-2177,-545,133502,7158,12071,111533,2740,219667,668,2141,2141,0,3479,1078,7786,0,7786,0,ND
1963:Q1,400482,4210,16410,1828,116207,1982,75854,6967,491,0,0,0,6476,26810,4594,0,0,0,0,4594,253904,70161,2071,147367,34305,1596,0,0,214,6113,369643,-1152,1223,194,-2628,59,125495,7330,12143,103552,2470,228052,2180,2092,2092,0,2514,1181,9281,0,9281,0,ND
1963:Q2,412421,3483,16965,850,116142,1928,74477,7032,500,0,0,0,6532,28275,4430,0,0,0,0,4430,264504,73331,2158,153130,35885,1674,0,0,219,8584,380879,-932,1638,96,-2473,-193,129557,11060,12396,103297,2804,235294,1087,2179,2179,0,3270,883,9541,0,9541,0,ND
1963:Q3,420398,4550,16621,1554,115503,1791,72821,7264,574,0,0,0,6690,29406,4221,0,0,0,0,4221,272584,74557,2167,158811,37049,1738,0,0,224,7624,389015,-153,1435,465,-1843,-210,128758,8850,11765,105357,2786,240051,1849,2224,2189,35,4024,863,11399,0,11399,0,ND
