1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q4,4976,0,0,63,1389,261,576,0,218,334,3285,2422,863,0,52,187,5004,2349,3185,-836,1974,647,27,872,77,-942,0,-942,296,ND
1968:Q1,5323,0,0,49,1420,286,590,0,215,329,3441,2574,867,0,55,358,5324,2257,3262,-1005,2333,687,31,876,77,-937,0,-937,298,ND
1968:Q2,5706,0,0,51,1412,303,608,0,198,303,3532,2675,857,0,59,652,5712,2134,3317,-1183,3007,730,35,866,78,-1138,0,-1138,301,ND
1968:Q3,4923,0,0,48,1408,323,630,0,180,275,3664,2799,865,0,62,-259,4924,2210,3504,-1294,2094,763,41,874,79,-1137,0,-1137,304,ND
1968:Q4,5871,0,0,56,1361,318,620,0,167,256,3654,2768,886,0,64,736,5887,2351,3506,-1155,3105,801,48,894,81,-1393,0,-1393,311,ND
1969:Q1,6423,0,0,66,1401,359,622,0,166,254,3908,3015,893,0,64,984,6465,2354,3678,-1324,4940,856,60,902,82,-2729,0,-2729,314,ND
1969:Q2,6494,0,0,92,1424,391,623,0,162,248,4183,3207,976,0,64,731,6591,2366,3881,-1515,5048,877,71,986,83,-2840,0,-2840,319,ND
1969:Q3,6929,0,0,83,1482,451,631,0,158,242,4617,3571,1046,0,68,679,7008,2499,4062,-1563,5326,955,77,1057,84,-2990,0,-2990,324,ND
1969:Q4,6668,0,0,92,1572,503,641,0,169,259,4973,3883,1090,0,72,-41,6800,2875,4368,-1493,3093,1032,87,1101,77,-1465,0,-1465,295,ND
1970:Q1,7917,0,0,118,1322,643,350,0,130,199,5794,4724,1070,0,76,607,8110,2344,4075,-1731,7045,1206,78,1081,78,-3722,0,-3722,300,ND
1970:Q2,7527,0,0,160,1419,638,394,0,153,234,5888,4693,1195,0,81,-21,7820,1899,4083,-2184,6663,1296,80,1207,79,-3404,0,-3404,304,ND
1970:Q3,8210,0,0,123,1674,807,488,0,150,229,6888,5718,1170,0,85,-560,8423,1623,3898,-2275,7940,1365,79,1181,80,-3845,0,-3845,308,ND
1970:Q4,8608,0,0,116,2281,873,497,0,360,551,7529,6117,1412,0,89,-1407,8804,1801,3844,-2043,7273,1408,107,1426,79,-3290,0,-3290,305,ND
1971:Q1,8543,0,0,152,1749,841,458,0,178,272,7363,5928,1435,0,91,-812,8793,1109,3814,-2705,8853,1464,103,1449,80,-4265,0,-4265,309,ND
1971:Q2,8126,0,0,264,1505,821,277,0,161,246,7348,5819,1529,0,94,-1085,8578,163,3830,-3667,10450,1502,114,1544,81,-5276,0,-5276,314,ND
1971:Q3,8862,0,0,215,1582,877,277,0,169,259,7797,6167,1630,0,89,-821,9161,528,3972,-3444,9805,1616,211,1646,83,-4728,0,-4728,318,ND
1971:Q4,9247,0,0,152,1630,944,263,0,167,256,8160,6582,1578,0,85,-780,9356,2483,4246,-1763,7426,1668,518,1594,90,-4423,0,-4423,344,ND
1972:Q1,10733,0,0,301,1950,1014,466,70,158,242,8619,7022,1597,0,101,-238,11157,5650,3849,1801,3152,1765,866,1613,91,-1980,0,-1980,349,ND
1972:Q2,10634,0,0,393,1869,1011,369,140,138,211,8442,7028,1414,0,108,-178,11271,6298,4089,2209,1861,1841,665,1428,92,-914,0,-914,353,ND
1972:Q3,11501,0,0,344,2125,1126,478,210,123,188,9068,7748,1320,0,108,-144,12032,7366,4239,3127,1706,1567,1093,1334,93,-1127,0,-1127,357,ND
1972:Q4,13880,0,0,443,2425,1203,480,271,138,333,10402,9022,1380,0,108,502,14443,4618,5360,-742,4244,2415,828,1393,102,843,0,843,393,ND
1973:Q1,14346,0,0,480,2506,1410,352,355,137,252,10744,9352,1372,20,123,493,14537,5010,3445,1565,3102,2802,1375,1386,103,759,0,759,397,ND
1973:Q2,15407,0,0,771,2827,1615,396,403,136,277,11183,9722,1447,14,103,523,16168,4940,4039,901,4110,2847,1731,1462,107,971,0,971,411,ND
1973:Q3,16544,0,0,684,2657,1337,429,477,162,252,12353,10689,1634,30,121,729,17421,6588,3977,2611,2988,3203,1913,1650,111,968,0,968,425,ND
1973:Q4,17868,0,0,750,2806,1441,449,462,164,290,13563,11733,1778,52,157,592,18548,5181,2851,2330,4508,3376,2260,1796,120,1307,0,1307,461,ND
1974:Q1,18893,0,0,1184,3096,1606,442,571,188,289,13919,11826,2033,60,168,526,20506,7554,5504,2050,4210,3458,2149,2054,124,957,0,957,475,ND
1974:Q2,21429,0,0,1026,3407,1841,465,602,220,279,16322,13621,2635,66,169,505,21929,3854,2634,1220,7886,3647,2665,2661,138,1078,0,1078,532,ND
1974:Q3,23235,0,0,1274,3375,1867,416,557,244,291,18059,14770,3207,82,168,359,25165,8849,5121,3728,5130,4176,2860,3239,153,758,0,758,588,ND
1974:Q4,25121,0,0,840,3716,2094,503,602,214,303,20421,16624,3697,100,169,-25,27088,9191,3564,5627,5662,4500,3136,3734,175,690,0,690,673,ND
1975:Q1,25059,0,0,1116,3037,1684,439,379,232,303,20622,16661,3746,215,183,101,27172,9521,3961,5560,4427,4679,3066,3783,190,1506,0,1506,729,ND
1975:Q2,25371,0,0,912,3401,2043,426,331,264,337,20249,16353,3548,348,166,643,27069,6859,3200,3659,6387,5179,3202,3583,191,1668,0,1668,734,ND
1975:Q3,25520,0,0,1325,3317,2007,436,277,277,320,20538,16894,3358,286,165,175,28161,8440,4594,3846,5096,6143,2863,3392,192,2035,0,2035,739,ND
1975:Q4,26715,0,0,1150,3608,2084,610,331,247,336,21534,17604,3745,185,179,244,29064,5712,1958,3754,6238,7884,3312,3783,180,1955,0,1955,692,ND
1976:Q1,26239,0,0,1399,3615,2110,705,316,219,265,20914,16969,3780,165,242,69,29179,6236,2448,3788,6355,7270,3161,3818,181,2158,0,2158,697,ND
1976:Q2,26647,0,0,1359,3750,2015,861,371,229,274,21548,17429,3957,162,234,-244,29526,6276,1783,4493,6800,7630,3135,3996,188,1501,0,1501,722,ND
1976:Q3,26965,0,0,1234,3968,2386,783,302,235,262,21589,17541,3920,128,222,-48,29600,5725,4128,1597,6993,8002,3201,3959,194,1526,0,1526,748,ND
1976:Q4,28217,0,0,1445,4540,2542,1162,325,249,262,22242,17648,4505,89,214,-224,31335,4471,1147,3324,8605,8266,3787,4550,206,1450,0,1450,793,ND
1977:Q1,28113,0,0,1474,4376,2720,977,258,169,252,22480,17850,4539,91,240,-457,31339,4684,3316,1368,7786,8542,3709,4584,213,1821,0,1821,818,ND
1977:Q2,28677,0,0,1689,3941,2393,876,240,181,251,23315,18525,4688,102,239,-507,32422,4807,3333,1474,8705,8872,3940,4735,220,1143,0,1143,845,ND
1977:Q3,30602,0,0,2376,4574,2677,1054,232,318,293,24005,19261,4663,81,236,-589,35911,5272,760,4512,11130,9006,3997,4710,227,1569,0,1569,872,ND
1977:Q4,32494,0,0,2229,4735,2619,1189,211,297,419,26103,20917,5131,55,245,-818,37511,3253,87,3166,11624,10482,4711,5182,241,2018,0,2018,929,ND
1978:Q1,35115,0,200,2148,5004,2903,1132,242,263,464,27792,22889,4836,67,274,-303,40024,5334,-1772,7106,11098,11384,4609,4885,248,2466,0,2466,956,ND
1978:Q2,38517,0,489,2457,5587,3287,1283,331,206,480,29739,24795,4858,86,271,-26,44176,6798,-934,7732,11832,11895,5096,4906,258,3391,0,3391,990,ND
1978:Q3,42222,0,474,2816,5823,3467,1294,342,187,533,32300,27814,4390,96,279,530,48748,7674,977,6697,12375,13874,5368,4434,267,4756,0,4756,1025,ND
1978:Q4,47719,0,578,3066,6172,3588,1450,409,164,561,37468,32535,4830,103,118,317,55158,7098,-3183,10281,14083,16903,7364,4930,284,4496,0,4496,1091,ND
1979:Q1,51165,0,617,3438,5994,3500,1290,369,154,681,40659,35650,4890,119,120,337,60011,10975,2801,8174,14066,17141,6545,4990,314,5980,0,5980,1210,ND
1979:Q2,54829,0,800,3543,6092,3329,1526,359,178,700,43986,38570,5280,136,119,289,63514,11679,48,11631,16046,18859,7013,5550,345,4022,0,4022,1328,ND
1979:Q3,63858,0,893,3910,7106,3704,1658,394,197,1153,51435,44950,6020,465,120,394,73032,17552,2218,15334,14753,21176,8621,6440,376,4114,0,4114,1446,ND
1979:Q4,67389,0,566,4402,7286,3981,1953,430,230,692,54632,47436,6340,856,129,374,77259,21158,4371,16787,14840,20536,9929,6750,411,3635,0,3635,1583,ND
