1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q3,1591697,0,102726,253567,0,118250,74484,0,34138,9628,44477,-573,41613,3437,518457,28523,0,99913,394349,31435,413432,198076,69722,84142,24639,36853
1964:Q4,1620905,0,102904,261041,0,118960,73571,245,34854,10290,45054,-823,42098,3779,530283,28447,0,101051,401876,31289,422894,202335,71430,87352,24669,37108
1965:Q1,1652357,0,100587,268791,0,120460,76555,21,33771,10113,44914,-756,42175,3495,543745,29751,0,102149,409725,32235,429080,205891,72809,87645,25250,37486
1965:Q2,1645465,0,100904,275058,0,120223,76144,618,33792,9669,45464,-678,42480,3662,520804,29291,0,103382,418006,32333,441708,210329,75196,92243,25798,38142
1965:Q3,1717869,0,106947,280622,0,121773,75984,909,34915,9965,45513,-548,42391,3670,566354,32050,0,104656,426926,33028,450907,215042,77353,94391,25858,38263
1965:Q4,1776127,0,109743,288514,0,121426,74762,1132,36531,9001,46341,-310,42611,4040,600948,34410,0,105876,435926,32943,461321,219449,79115,97489,26651,38617
1966:Q1,1778815,0,108175,294109,0,128182,78944,1843,37666,9729,45657,-644,42600,3701,580915,35326,0,107049,445277,34125,468057,223358,81383,97096,27788,38432
1966:Q2,1771102,0,107089,299561,0,129939,76488,4946,38778,9727,46952,-305,43427,3830,555299,34547,0,108190,455364,34161,480284,227232,83558,100205,28645,40645
1966:Q3,1732848,0,110014,301554,0,135295,79238,5724,39058,11275,47662,-53,43990,3725,497568,31301,0,109347,464810,35297,485840,230272,85217,100989,28972,40390
1966:Q4,1791353,0,111566,307135,0,137202,79080,5850,41151,11121,48540,-65,44617,3988,531417,33850,0,110568,475695,35380,493043,232742,86321,103422,29512,41046
1967:Q1,1885684,0,110950,317399,0,135430,77816,5837,39687,12090,49375,762,44959,3654,598899,38226,0,111833,486809,36763,494616,234221,87594,101348,30972,40480
1967:Q2,1913531,0,111808,328252,0,130988,74762,5716,38330,12180,50373,1299,45344,3730,604594,39284,0,113070,497998,37164,505358,237076,89970,104131,32172,42009
1967:Q3,1982583,0,115693,335860,0,135474,77290,5625,39262,13297,51080,1576,45877,3627,640696,42006,0,114312,509312,38150,514132,241547,92539,105544,33395,41106
1967:Q4,2035829,0,122075,342144,0,138676,79092,6265,38208,15111,52638,2159,46607,3872,663217,42973,0,115533,520252,38321,538151,245974,97126,108567,35205,51279
