1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q2,1879716,1451338,335686,92692,1178,72634,18880,1879716,512973,513292,296305,257209,276863,23074,143,6623,6283,131,15,194,1130,912,60,5,21,0,1579,795,507,11297,0,222137,151000
1965:Q3,1903401,1466753,341326,95322,1270,74644,19408,1903401,517967,521213,299307,258922,282442,23550,143,6755,6408,134,16,197,1168,944,62,6,18,0,1633,819,527,11475,0,224873,152900
1965:Q4,1954345,1510253,346058,98034,1384,76848,19802,1954345,536864,533757,307940,262979,288476,24329,146,6968,6611,138,17,202,1215,984,66,7,15,0,1702,852,550,11825,0,227877,157200
1966:Q1,1971560,1519391,351212,100957,1488,79134,20335,1971560,535932,541168,309669,265698,294373,24720,147,7077,6715,140,18,204,1244,1005,67,6,16,0,1745,872,560,11980,0,232807,162300
1966:Q2,2042084,1578265,359960,103859,1624,81448,20787,2042084,560133,557486,322144,271968,304753,25600,150,7325,6949,146,19,211,1292,1043,70,6,18,0,1817,909,576,12391,0,238181,166400
1966:Q3,2067085,1593019,367378,106688,1783,83780,21125,2067085,562374,567055,325389,274953,311212,26102,152,7462,7082,148,19,213,1329,1070,72,7,19,0,1868,935,588,12597,0,243936,170700
1966:Q4,2119869,1632705,377580,109584,1969,86091,21524,2119869,578944,581453,334846,278893,318877,26856,155,7672,7282,152,20,218,1378,1108,76,8,20,0,1936,968,606,12931,0,249526,173700
1967:Q1,2152029,1655139,384459,112431,2127,88448,21856,2152029,585569,592462,338247,282480,325805,27466,158,7824,7422,157,21,224,1420,1140,78,8,21,0,2043,995,631,13148,0,252772,176600
1967:Q2,2186189,1677791,392740,115658,2279,90942,22437,2186189,593344,603998,342158,287232,331364,28093,160,7980,7566,162,22,230,1465,1173,81,9,21,0,2152,1024,658,13373,0,258256,179600
1967:Q3,2228730,1708571,401044,119115,2416,93589,23110,2228730,602943,616293,346863,293256,340629,28746,163,8143,7716,166,23,238,1510,1206,83,9,21,0,2263,1053,683,13616,0,265245,181400
1967:Q4,2285397,1752672,409828,122897,2564,96393,23940,2285397,620318,631703,354996,299818,348994,29568,166,8351,7909,173,24,245,1560,1245,86,10,22,0,2386,1088,712,13943,0,271925,184100
1968:Q1,2341969,1798722,416514,126733,2697,99255,24781,2341969,637041,646260,363194,303856,361012,30606,170,8623,8164,179,27,253,1610,1284,89,10,21,0,2621,1126,752,14302,8,278699,188600
1968:Q2,2387567,1831884,425394,130289,2836,102245,25208,2387567,649058,660816,369603,307734,368721,31635,173,8889,8415,184,30,260,1662,1325,92,10,21,0,2857,1164,793,14651,20,285579,192600
1968:Q3,2422053,1854302,433808,133943,2996,105357,25590,2422053,656045,673823,373879,312231,373500,32575,176,9131,8642,189,33,267,1711,1362,94,10,20,0,3091,1199,835,14947,32,293832,195300
1968:Q4,2511414,1929172,444335,137907,3170,108593,26144,2511414,687440,694847,388514,319583,387058,33972,181,9495,8986,196,36,277,1778,1416,99,11,20,0,3368,1250,885,15471,49,302030,197400
1969:Q1,2573055,1978741,452105,142209,3335,111974,26900,2573055,704157,710835,397622,325993,399410,35038,186,9818,9308,195,37,278,1834,1456,103,11,21,0,3520,1294,937,15862,67,309289,203000
1969:Q2,2635734,2026860,462457,146417,3536,115437,27444,2635734,717501,728159,405722,334385,413770,36197,190,10164,9652,195,38,279,1893,1502,107,11,22,0,3681,1340,992,16294,73,316838,207900
1969:Q3,2680374,2057683,471726,150965,3818,118975,28172,2680374,724228,745961,411593,337517,423697,37378,195,10515,10001,196,39,279,1959,1550,110,11,22,0,3851,1389,1053,16721,81,323236,211000
