1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q4,-64,0,-64,0,-64,0,-64,-30,2,0,-32,0,-8,-8,0,-26,6,-32,0
1956:Q1,4,0,4,0,4,0,4,-41,-14,0,-27,0,-12,-12,0,57,26,31,0
1956:Q2,-69,0,-69,0,-69,0,-69,-51,20,0,-71,0,-103,-103,0,85,83,2,0
1956:Q3,73,0,73,0,73,0,73,155,79,0,76,0,-164,-164,0,82,85,-3,0
1956:Q4,556,0,556,0,556,0,556,545,-39,0,584,0,-26,-26,0,37,65,-28,0
1957:Q1,-20,0,-20,0,-20,0,-20,-58,-9,0,-49,0,-348,-348,0,386,357,29,0
1957:Q2,61,0,61,0,61,0,61,73,9,0,64,0,-326,-326,0,314,317,-3,0
1957:Q3,249,0,249,0,249,0,249,254,15,0,239,0,-27,-27,0,22,12,10,0
1957:Q4,77,0,77,0,77,0,77,35,-48,0,83,0,-98,-98,0,140,146,-6,0
1958:Q1,67,0,67,0,67,0,67,94,17,0,77,0,370,370,0,-397,-387,-10,0
1958:Q2,42,0,42,0,42,0,42,13,-37,0,50,0,1075,1075,0,-1046,-1038,-8,0
1958:Q3,-53,0,-53,0,-53,0,-53,-9,-1,0,-8,0,483,483,0,-527,-482,-45,0
1958:Q4,-73,0,-73,0,-73,0,-73,-137,-7,0,-130,0,347,347,0,-283,-340,57,0
1959:Q1,-165,0,-165,0,-165,0,-165,-170,-4,0,-166,0,96,96,0,-91,-92,1,0
1959:Q2,318,0,318,0,318,0,318,315,-3,0,318,0,740,740,0,-737,-737,0,0
1959:Q3,-26,0,-26,0,-26,0,-26,160,47,0,113,0,167,167,0,-353,-214,-139,0
1959:Q4,-88,0,-88,0,-88,0,-88,-236,-37,0,-199,0,72,72,0,76,-35,111,0
1960:Q1,-109,0,-109,0,-109,0,-109,-117,-2,0,-115,0,50,50,0,-42,-48,6,0
1960:Q2,-81,0,-81,0,-81,0,-81,-65,-8,0,-57,0,94,94,0,-110,-86,-24,0
1960:Q3,-102,0,-102,0,-102,0,-102,-77,-1,0,-76,0,638,638,0,-663,-637,-26,0
1960:Q4,-150,0,-150,0,-150,0,-150,-158,-3,0,-155,0,921,921,0,-913,-918,5,0
1961:Q1,0,0,0,0,-25,25,0,-47,8,0,-67,13,371,371,0,-325,-379,42,13
1961:Q2,150,0,150,0,-11,161,150,129,8,0,40,81,-170,-170,0,192,162,-51,81
1961:Q3,359,0,359,0,483,-124,359,408,28,0,442,-62,146,146,0,-195,-174,41,-62
1961:Q4,-258,0,-258,0,-312,54,-258,-330,-23,0,-334,27,510,510,0,-438,-487,22,27
1962:Q1,-123,0,-123,0,-237,114,-123,-201,-23,0,-235,57,304,304,0,-226,-281,-2,57
1962:Q2,280,0,280,0,-44,324,280,175,57,0,-44,162,116,116,0,-11,-173,0,162
1962:Q3,-435,0,-435,0,-331,-104,-435,-464,-77,0,-335,-52,445,445,0,-416,-368,4,-52
1962:Q4,-365,0,-365,0,-14,-351,-365,-123,64,0,-11,-176,25,25,0,-268,-89,-3,-176
1963:Q1,79,0,79,0,46,33,79,53,-11,0,47,17,111,111,0,-85,-100,-1,17
1963:Q2,-7,0,-7,0,-1,-6,-7,69,29,0,43,-3,116,116,0,-192,-145,-44,-3
1963:Q3,-31,0,-31,0,-59,28,-31,-136,-45,0,-105,14,196,196,0,-91,-151,46,14
1963:Q4,43,0,43,0,-15,58,43,50,31,0,-10,29,38,38,0,-45,-69,-5,29
1964:Q1,97,0,97,0,-131,228,97,-15,6,0,-135,114,46,46,0,66,-52,4,114
1964:Q2,-376,0,-376,0,-118,-258,-376,-175,73,0,-119,-129,-73,-73,0,-128,0,1,-129
1964:Q3,-90,0,-90,0,-135,45,-90,-96,18,0,-136,23,-20,-20,0,26,2,1,23
1964:Q4,323,0,323,0,118,205,323,123,-97,0,117,103,172,172,0,29,-75,1,103
1965:Q1,-10,0,-10,0,-68,58,-10,-44,-8,0,-65,29,833,833,0,-799,-825,-3,29
1965:Q2,522,0,522,0,466,56,522,532,39,0,465,28,590,590,0,-600,-629,1,28
1965:Q3,83,0,83,0,-330,413,83,-169,-48,0,-327,207,124,124,0,128,-76,-3,207
1965:Q4,-152,0,-152,0,26,-178,-152,-58,6,0,25,-89,119,119,0,-213,-125,1,-89
1966:Q1,-356,0,-356,0,-134,-222,-356,-204,31,0,-124,-111,68,68,0,-220,-99,-10,-111
1966:Q2,141,0,141,0,-22,163,141,53,-8,0,-21,82,209,209,0,-121,-201,-1,82
1966:Q3,91,0,91,0,-335,426,91,-128,2,0,-343,213,173,173,0,46,-175,8,213
1966:Q4,127,0,127,0,-46,173,127,24,-22,0,-41,87,121,121,0,-18,-99,-5,87
1967:Q1,-976,0,-976,0,31,-1007,-976,-469,1,0,34,-504,51,51,0,-559,-52,-3,-504
1967:Q2,434,0,434,0,10,424,434,203,-18,0,9,212,15,15,0,216,3,1,212
1967:Q3,467,0,467,0,5,462,467,247,12,0,4,231,92,92,0,128,-104,1,231
1967:Q4,1193,0,1193,0,48,1145,1193,635,12,0,50,573,1012,1012,0,-454,-1024,-2,573
1968:Q1,450,0,450,0,57,393,450,387,136,0,54,197,1362,1362,0,-1299,-1498,3,197
1968:Q2,159,0,159,0,426,-267,159,392,95,0,430,-134,22,22,0,-255,-117,-4,-134
1968:Q3,497,0,497,0,23,474,497,335,74,0,24,237,-74,-74,0,236,0,-1,237
1968:Q4,939,0,939,0,364,575,939,785,137,0,360,288,-137,-137,0,292,0,4,288
1969:Q1,101,0,101,0,31,70,101,10,-56,0,31,35,56,56,0,35,0,0,35
1969:Q2,-18,0,-18,0,228,-246,-18,423,317,0,229,-123,-317,-317,0,-124,0,-1,-123
1969:Q3,675,0,675,0,233,442,675,462,11,0,230,221,-11,-11,0,224,0,3,221
1969:Q4,-544,0,-544,0,542,-1086,-544,699,695,0,547,-543,-695,-695,0,-548,0,-5,-543
1970:Q1,1209,867,342,920,253,-831,1209,-200,-956,920,252,-416,823,-44,867,586,1000,1,-416
1970:Q2,-1011,0,-1011,37,-227,-821,-1011,-606,-14,37,-218,-411,14,14,0,-420,0,-9,-411
1970:Q3,-406,0,-406,34,-406,-34,-406,-548,-145,34,-420,-17,395,395,0,-253,-250,14,-17
1970:Q4,-618,0,-618,-140,-9,-469,-618,-401,-37,-140,11,-235,422,422,0,-640,-385,-20,-235
1971:Q1,675,717,-42,592,-255,-379,675,59,-109,592,-235,-190,826,109,717,-210,0,-20,-190
1971:Q2,-382,0,-382,-196,-252,66,-382,-493,-56,-196,-274,33,456,456,0,-345,-400,22,33
1971:Q3,-1077,0,-1077,-150,-851,-76,-1077,-1135,-100,-150,-847,-38,300,300,0,-242,-200,-4,-38
1971:Q4,19,0,19,3,8,8,19,13,-1,3,7,4,1,1,0,5,0,1,4
1972:Q1,1344,710,634,710,1,-77,1344,674,0,710,2,-39,1254,544,710,-584,-544,-1,-39
