1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q4,97848,235,0,2062,6000,1153,4392,455,0,0,88528,32105,0,16243,15862,56423,31430,0,31430,6350,0,6350,18643,0,1023,95010,0,81241,0,81241,1172,12597
1977:Q1,98335,234,0,2596,5143,1392,3202,549,0,0,89406,32537,0,18075,14462,56459,30656,0,30656,6351,0,6351,19452,410,956,95430,0,82118,0,82118,410,12902
1977:Q2,101720,224,0,3404,4101,2333,1401,367,0,0,92647,33964,0,18247,15717,58253,31467,0,31467,6472,0,6472,20314,430,1344,98580,0,84671,0,84671,430,13479
1977:Q3,102917,272,0,3122,2911,1739,830,342,0,0,95242,35538,0,18484,17054,59194,31652,0,31652,6528,0,6528,21014,510,1370,99626,0,86022,0,86022,510,13094
1977:Q4,105900,304,0,2218,2431,1386,961,84,0,0,98951,38492,0,18319,20173,59944,31918,0,31918,6403,0,6403,21623,515,1996,102641,0,88197,0,88197,515,13929
1978:Q1,111151,264,0,3680,2201,1149,842,210,0,0,102488,39578,0,18300,21278,62320,33566,0,33566,6370,0,6370,22384,590,2518,107707,0,92621,0,92621,590,14496
1978:Q2,119335,298,0,3511,2745,788,1320,637,0,0,110360,44656,0,19382,25274,65014,35564,0,35564,6176,0,6176,23274,690,2421,115664,0,99279,0,99279,690,15695
1978:Q3,127013,248,0,3759,1688,236,1097,355,0,0,118694,49317,0,20159,29158,68632,38282,0,38282,6246,0,6246,24104,745,2624,123120,0,105268,0,105268,745,17107
1978:Q4,134484,334,0,3641,1823,188,1442,193,0,0,126244,53137,0,20467,32670,72192,40942,0,40942,6395,0,6395,24855,915,2442,130653,0,111266,0,111266,915,18472
1979:Q1,141755,301,0,5863,1257,170,862,225,0,0,131575,53695,0,21814,31881,76850,44367,0,44367,6460,0,6460,26023,1030,2759,137727,0,117354,0,117354,1030,19343
1979:Q2,149379,356,0,4692,2219,47,1827,345,0,0,139812,58501,0,23430,35071,80171,46341,0,46341,6412,0,6412,27418,1140,2300,144954,0,122559,0,122559,1140,21255
1979:Q3,154377,370,0,3527,1373,52,931,390,0,0,146775,62596,0,24000,38596,82904,47778,0,47778,6522,0,6522,28604,1275,2332,149648,0,126976,0,126976,1275,21397
1979:Q4,165640,506,0,4205,2177,336,1239,602,0,0,155896,67761,0,25923,41838,86630,50128,0,50128,6583,0,6583,29919,1505,2856,161184,0,135522,0,135522,1505,24157
1980:Q1,175366,482,0,3760,2908,488,1810,610,0,0,165304,71836,0,27714,44122,91736,53327,0,53327,6619,0,6619,31790,1732,2912,170571,0,144295,0,144295,1785,24491
1980:Q2,181731,466,0,7158,3683,1159,1817,707,0,0,167538,70223,0,27859,42364,95193,54775,0,54775,6557,0,6557,33861,2122,2886,176947,0,148876,0,148876,2180,25891
