1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q3,208876,16892,123629,67144,1211,208876,8715,1397,3466,3620,1289,119549,96,594,366,59153,1376,2902,0,0,4605,1748
1978:Q4,214511,17153,124791,71254,1313,214511,8373,1422,3875,3661,1323,122051,103,594,391,62232,1379,3024,0,0,4350,1733
1979:Q1,219175,17231,127787,72806,1351,219175,8023,1473,4344,3943,1327,124336,119,595,448,63855,1401,3059,0,0,4532,1720
1979:Q2,225711,17267,127219,79882,1343,225711,7590,1528,4789,4111,1372,128383,136,600,428,65964,1375,3077,0,0,4652,1706
1979:Q3,233353,17504,127271,87261,1317,233353,7435,1584,5175,4316,1455,132463,465,606,458,68358,1422,3076,0,0,4848,1692
1979:Q4,239448,17612,125468,95062,1307,239448,7191,1627,5516,4502,1521,135017,856,615,650,70920,1437,3182,0,0,4736,1678
1980:Q1,243912,17563,122825,102223,1301,243912,7319,1582,5466,4904,1539,135849,1248,550,774,73554,1511,3271,0,0,4692,1653
1980:Q2,248864,17876,117644,112051,1293,248864,7407,1657,5492,5165,1644,137445,1639,575,821,75725,1541,3340,0,0,4784,1629
1980:Q3,253808,18332,114437,119753,1286,253808,7239,1713,5708,5429,1627,139018,1929,606,865,77916,1765,3388,0,0,5000,1605
1980:Q4,259903,18256,114460,125908,1280,259903,6993,1776,6079,5682,1681,141085,2178,635,994,80666,1836,3529,0,0,5189,1580
1981:Q1,267511,18449,114838,132944,1280,267511,6365,4156,6873,5861,1698,142871,2558,726,1055,82616,1963,3568,0,0,5629,1572
1981:Q2,278496,18723,120372,138120,1281,278496,5654,8009,7704,6107,1831,146211,3054,869,1147,84571,2063,3736,0,0,5975,1565
1981:Q3,288922,19007,125700,142930,1285,288922,4674,12435,8626,6365,2032,149476,3427,1000,1249,86070,2066,3861,0,0,6084,1557
1981:Q4,299685,19053,120914,158425,1293,299685,3525,17479,9619,6667,2163,151864,3916,1055,1341,88163,2115,3928,0,0,6299,1551
1982:Q1,306619,19928,119186,166197,1308,306619,926,22543,10159,6850,2324,154002,4255,1095,1406,89573,1283,4018,0,0,6620,1565
1982:Q2,315647,20311,115439,178566,1331,315647,790,23020,10631,7018,2589,158178,4651,1103,1448,91200,2500,4192,0,0,6747,1580
1982:Q3,324780,20477,108427,194523,1353,324780,665,24644,10930,7220,2780,163231,4876,1093,1501,91687,3093,4434,0,0,7031,1595
1982:Q4,333680,20918,105961,205432,1369,333680,563,26862,11091,7388,3062,166226,4994,1075,1600,93547,4127,4474,0,0,7061,1610
1983:Q1,346330,22457,121951,200543,1379,346330,1887,27419,11253,7452,3220,172948,5025,1018,1749,95356,5914,4494,0,0,7012,1583
