1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1983:Q4,673603,1400,8785,0,1000,184170,1000,48910,39252,2000,93008,14651,89641,7872,366084,0,365575,509,675474,667602,302027,365575,665731,7872
1984:Q1,687390,1623,10104,0,1321,190729,1321,54561,40192,2151,92504,14726,88715,7912,372260,0,371786,474,689401,681489,309703,371786,679478,7912
1984:Q2,700939,1790,11093,0,1657,201352,1657,59177,38801,2264,99453,14935,87637,7620,374855,0,374416,439,703116,695496,321080,374416,693319,7620
1984:Q3,715884,2003,12727,0,2040,209169,2040,64331,39492,2068,101238,14961,96406,8342,370236,0,369814,422,718227,709885,340071,369814,707542,8342
1984:Q4,730678,1999,11960,0,2500,217912,2500,67914,43308,1534,102656,15255,96514,8592,375946,0,375577,369,733190,724598,349021,375577,722086,8592
1985:Q1,746318,2339,14085,0,3039,217234,3039,73822,43495,1550,95328,15319,105957,9352,378993,0,378607,386,749039,739687,361080,378607,736966,9352
1985:Q2,762361,2886,14614,0,3656,222794,3656,77190,40841,1278,99829,15345,111742,9947,381377,0,380973,404,765279,755332,374359,380973,752414,9947
1985:Q3,778083,2496,14149,0,4320,231312,4320,79910,41556,1225,104301,15321,105134,9701,395650,0,395210,440,781203,771502,376292,395210,768382,9701
1985:Q4,795973,2351,13327,1427,5000,237054,5000,85383,38124,1128,107419,15309,120071,18105,383329,0,382839,490,799301,787969,405130,382839,784641,11332
1986:Q1,815889,2300,14072,1494,5714,243096,5714,95028,34901,938,106515,15400,135544,20984,377285,0,376696,589,819438,805807,429111,376696,802258,13631
1986:Q2,834636,2200,14183,1480,6480,250530,6480,98507,36024,1196,108323,15197,147760,21068,375738,0,375058,680,838393,824124,449066,375058,820367,14269
1986:Q3,852656,2499,11595,1587,7355,263318,7355,104604,37905,1035,112419,15364,140408,19428,391102,0,390431,671,856606,842981,452550,390431,839031,13625
1986:Q4,872318,3082,9891,1725,8270,281535,8270,115329,38147,709,119080,15550,150215,19776,382274,0,381572,702,876465,862234,480662,381572,858087,14231
1987:Q1,891875,3709,7403,1757,9211,293098,9211,122815,39917,553,120602,15333,184755,25054,351555,0,350785,770,896325,878793,528008,350785,874343,17532
1987:Q2,909409,4301,5753,1885,10170,299182,10170,129503,41311,606,117592,15228,196669,27515,348706,0,347941,765,914170,895932,547991,347941,891171,18238
1987:Q3,927720,4712,5019,1937,10929,303473,10929,135414,42927,647,113556,15408,210476,30039,345727,0,345108,619,932746,913601,568493,345108,908575,19145
1987:Q4,941288,4844,5216,2015,11272,313435,11272,138866,42961,808,119528,15331,170087,24145,394943,0,394372,571,946586,931539,537167,394372,926241,15047
1988:Q1,959795,4852,5761,2112,11247,317490,11247,143570,40327,667,121679,15448,188043,25061,389781,0,389254,527,965395,949399,560145,389254,943799,15996
1988:Q2,978447,5095,5865,2462,10900,325603,10900,142940,39568,742,131453,15637,196898,25447,390540,0,390057,483,984359,967590,577533,390057,961678,16769
