1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q4,36920,0,2203,2122,2859,0,0,12610,1291,10651,0,0,668,0,ND,9302,0,899,0,0,6925,0,30851,1555,148,0,5784,0,5784,ND,16636,2245,14391,1725,0,0,1239,3764,824,2940,0,0,0,3984,30626,0,0
1961:Q1,38640,0,2424,2642,2463,0,0,12654,1343,10635,0,0,676,0,ND,10468,0,969,0,0,7020,0,31335,1555,189,0,5869,0,5869,ND,17147,2210,14937,1465,0,0,1269,3841,824,3017,0,0,0,4479,31351,0,0
1961:Q2,38798,0,2691,2518,2628,0,0,12291,1322,10288,0,0,681,0,ND,10536,0,1000,0,0,7134,0,31768,1705,213,0,6042,0,6042,ND,16919,2346,14573,1648,0,0,1297,3944,824,3120,0,0,0,4440,32043,0,0
1961:Q3,40429,0,2679,2744,2903,0,0,12987,1441,10874,0,0,672,0,ND,10900,0,1018,0,0,7198,0,33021,2064,238,0,6109,0,6109,ND,17524,2375,15149,1800,0,0,1328,3958,824,3134,0,0,0,4524,32813,0,0
1961:Q4,41408,0,2089,3098,2911,0,0,13064,1360,11035,0,0,669,0,ND,11808,0,1185,0,0,7253,0,33832,1806,236,0,6221,0,6221,ND,18192,2727,15465,1831,0,0,1350,4196,995,3201,0,0,0,4902,33367,0,0
1962:Q1,41865,0,2251,3381,2904,0,0,13277,1384,11023,84,0,786,0,ND,11548,0,1195,0,0,7309,0,34784,1686,234,0,6422,0,6422,ND,18743,2966,15777,2085,0,0,1370,4244,995,3249,0,0,0,4878,33851,0,0
1962:Q2,39583,0,2223,3420,2991,0,0,13719,1317,11468,169,0,765,0,ND,8793,0,1030,0,0,7407,0,35720,1963,296,0,6737,0,6737,ND,18893,2972,15921,2039,0,0,1397,4395,995,3400,0,0,0,3847,34532,0,0
1962:Q3,40428,0,2241,2861,3129,0,0,14379,1293,12118,253,0,715,0,ND,9267,0,1078,0,0,7473,0,36046,1528,788,0,6831,0,6831,ND,18747,2991,15756,2259,0,0,1423,4470,995,3475,0,0,0,4185,35154,0,0
1962:Q4,42256,0,1736,3233,3409,0,0,14797,1387,12379,337,0,694,0,ND,10336,0,1190,0,0,7555,0,36538,1163,790,0,7215,0,7215,ND,19053,2907,16146,2304,0,0,1450,4563,1117,3446,0,0,0,4714,35826,0,0
1963:Q1,43844,0,2424,2914,3802,0,0,14941,1370,12498,421,0,652,0,ND,10950,0,1187,0,0,7626,0,37508,1242,828,0,7709,0,7709,ND,19390,2812,16578,2240,0,0,1486,4613,1117,3496,0,0,0,4943,36724,0,0
1963:Q2,45663,0,2254,3250,3939,0,0,15692,1427,13051,504,0,710,0,ND,11526,0,1241,0,0,7761,0,38948,1235,1065,0,8216,0,8216,ND,20163,2932,17231,1868,0,0,1522,4879,1117,3762,0,0,0,5053,37621,0,0
1963:Q3,46906,0,2295,3169,4128,0,0,16030,1568,13169,588,0,705,0,ND,12031,0,1370,0,0,7883,0,39236,1204,1000,0,8287,0,8287,ND,20371,3067,17304,1916,0,0,1548,4910,1117,3793,0,0,0,5094,38245,0,0
1963:Q4,47404,0,1853,3499,4260,0,0,15893,1437,13033,672,0,751,0,ND,12485,0,1579,0,0,7835,0,39936,1247,731,0,8208,0,8208,ND,21145,3373,17772,1949,0,0,1584,5072,1179,3893,0,0,0,5145,39152,0,0
1964:Q1,48289,0,1875,3573,4530,0,0,15514,1582,12394,756,0,782,0,ND,13137,0,1739,0,0,7921,0,40810,1344,867,0,8097,0,8097,ND,21825,3551,18274,2058,0,0,1615,5004,1179,3825,0,0,0,5300,39908,0,0
1964:Q2,49235,0,1602,3924,4870,0,0,15619,1696,12267,840,0,816,0,ND,13468,0,1715,0,0,8037,0,41413,968,978,0,8249,0,8249,ND,22494,3685,18809,2089,0,0,1654,4981,1229,3752,0,0,0,5332,40868,0,0
1964:Q3,50938,0,1714,4152,5185,0,0,16292,1653,12816,924,0,899,0,ND,13766,0,1730,0,0,8099,0,42406,878,1243,0,8205,0,8205,ND,23097,3899,19198,2333,0,0,1691,4959,1229,3730,0,0,0,5352,41791,0,0
1964:Q4,56394,0,1779,8253,5515,0,0,16908,1620,13321,1008,0,959,0,ND,13835,0,1957,0,0,8147,0,44865,1201,1097,0,8675,0,8675,ND,24262,4544,19718,2697,0,0,1730,5203,1291,3912,0,0,0,5270,42750,0,0
1965:Q1,56567,0,2137,8010,5669,0,0,16492,1885,12538,1092,0,977,0,ND,13914,0,2016,0,0,8329,0,45715,1191,1033,0,8765,0,8765,ND,25355,5170,20185,2518,0,0,1791,5062,1291,3771,0,0,0,5180,44273,0,0
1965:Q2,56337,0,2489,7984,5853,0,0,16197,1859,12286,1176,0,876,0,ND,13279,0,2216,0,0,8319,0,46603,1713,822,0,8835,0,8835,ND,25685,4957,20728,2543,0,0,1849,5156,1291,3865,0,0,0,4809,45682,0,0
1965:Q3,58131,0,2364,8254,5959,0,0,16568,1940,12507,1260,0,861,0,ND,14296,0,2222,0,0,8468,0,46997,1796,892,0,8977,0,8977,ND,25677,4989,20688,2497,0,0,1888,5270,1291,3979,0,0,0,5041,46648,0,0
1965:Q4,59099,0,1753,8509,6081,0,0,17385,1982,13056,1344,0,1003,0,ND,14599,0,2240,0,0,8532,0,47773,1644,781,0,9135,0,9135,ND,26170,4983,21187,2669,0,0,2155,5219,1291,3928,0,0,0,5048,53255,0,0
1966:Q1,58696,0,2020,8594,6291,0,0,16822,1996,12189,1428,0,1209,0,ND,14027,0,2285,0,0,8657,0,48259,1288,884,0,9494,0,9494,ND,26513,4880,21633,2757,0,0,2195,5128,1291,3837,0,0,0,4846,54239,0,0
1966:Q2,58496,0,2157,8713,6497,0,0,17057,2121,11634,1512,0,1790,0,ND,12923,0,2376,0,0,8773,0,49204,1429,917,0,9629,0,9629,ND,26950,4882,22068,2806,0,0,2255,5218,1291,3927,0,0,0,4592,55724,0,0
1966:Q3,58787,0,3446,8868,6466,0,0,17181,2388,11249,1596,0,1948,0,ND,11455,0,2617,0,0,8754,0,49540,1520,932,0,9736,0,9736,ND,26806,4786,22020,2889,0,0,2301,5356,1301,4055,0,0,0,4122,56875,0,0
1966:Q4,61776,0,4444,9225,6413,0,0,17261,2212,11152,1680,0,2217,0,ND,12643,0,2843,0,0,8947,0,50500,1647,885,0,9870,0,9870,ND,27407,4802,22605,3011,0,0,2296,5384,1191,4193,0,0,0,4324,56746,0,0
1967:Q1,65976,0,3806,9130,6852,0,0,17879,2228,11507,1764,0,2380,0,ND,16002,0,3150,0,0,9157,0,50837,671,951,0,10159,0,10159,ND,28488,4741,23747,3242,0,0,2350,4976,1224,3752,0,0,0,4875,58075,0,0
1967:Q2,70238,0,3630,9121,7233,0,0,18260,2234,11537,1848,0,2641,0,ND,19156,0,3461,0,0,9377,0,52429,1105,843,0,10396,0,10396,ND,29177,4555,24622,3378,0,0,2385,5145,1266,3879,0,0,0,4919,58932,0,0
1967:Q3,77391,0,4813,9447,7437,0,0,18991,2155,12022,1932,0,2882,0,ND,23588,0,3595,0,0,9520,0,53916,1572,827,0,10785,0,10785,ND,29688,4696,24992,3429,0,0,2433,5182,1343,3839,0,0,0,5227,60123,0,0
1967:Q4,81777,0,5412,9787,7679,0,0,20037,2247,13239,2016,0,2535,0,ND,25511,0,3643,0,0,9708,0,56887,2765,1055,0,11086,0,11086,ND,30366,4848,25518,3696,0,0,2552,5367,1384,3983,0,0,0,5238,63058,0,0
1968:Q1,81910,0,6294,9801,7374,0,0,19877,2362,12334,2100,0,3081,0,ND,24631,0,3868,0,0,10065,0,58496,3223,1357,0,11389,0,11389,ND,30999,4669,26330,3655,0,0,2598,5275,1422,3853,0,0,0,4938,64197,0,0
1968:Q2,86600,0,7560,9824,7061,0,0,19346,2475,11020,2184,0,3667,0,ND,28212,0,4385,0,0,10212,0,59801,3382,1749,0,11449,0,11449,ND,31243,4525,26718,3905,0,0,2651,5422,1467,3955,0,0,0,5750,65505,0,0
1968:Q3,90505,0,8518,10175,7230,0,0,20723,2527,11596,2268,0,4332,0,ND,28883,0,4624,0,0,10352,0,61103,3879,1832,0,11683,0,11683,ND,31590,4416,27174,3965,0,0,2716,5438,1484,3954,0,0,0,6104,67121,0,0
1968:Q4,93559,0,7497,10637,7409,0,0,22606,2826,12577,2352,0,4851,0,ND,29517,0,5425,0,0,10468,0,63134,4818,1587,0,12170,0,12170,ND,31957,4389,27568,4305,0,0,2865,5432,1512,3920,0,0,0,6452,70804,0,0
1969:Q1,95753,0,11250,10605,7188,0,0,21976,2871,11182,2436,0,5487,0,ND,28598,0,5346,0,0,10790,0,64110,4922,1856,0,12487,0,12487,ND,32403,4233,28170,4290,0,0,2928,5224,1534,3690,0,0,0,6516,72368,0,0
1969:Q2,99404,0,15034,10717,6933,0,0,22253,3426,10607,2520,0,5700,0,ND,27895,0,5543,0,0,11029,0,65355,4904,1809,0,12692,0,12692,ND,33141,4113,29028,4429,0,0,3003,5377,1589,3788,0,0,0,6737,74221,0,0
1969:Q3,98058,0,11478,11030,7048,0,0,24933,3844,12558,2604,0,5927,0,ND,26633,0,5643,0,0,11293,0,66561,5579,1618,0,13107,0,13107,ND,33317,3845,29472,4384,0,0,3070,5486,1639,3847,0,0,0,6763,75882,0,0
1969:Q4,102865,0,14749,11454,8789,0,0,23164,3820,10240,2688,0,6416,0,ND,26761,0,6264,0,0,11684,0,67053,5105,1173,0,13198,0,13198,ND,33923,3934,29989,4896,0,0,3231,5527,1696,3831,0,0,0,6953,79842,0,0
1970:Q1,105102,867,13484,11601,9007,0,0,25506,3902,12016,2782,0,6806,0,ND,25996,0,6347,0,0,12294,0,68544,5447,1172,0,13480,0,13480,ND,34256,3954,30302,5299,0,0,3317,5573,1762,3811,0,0,0,6749,81986,0,0
1970:Q2,103366,867,12967,11692,9113,0,0,28189,4352,13687,2876,0,7274,0,ND,21457,0,6549,0,0,12532,0,68467,4439,1220,0,13422,0,13422,ND,34862,3963,30899,5445,0,0,3419,5660,1812,3848,0,0,0,5713,84501,0,0
1970:Q3,107816,867,11350,12029,8033,0,0,31204,4209,16425,2962,0,7608,0,ND,24473,0,6948,0,0,12912,0,68538,4033,1141,0,13818,0,13818,ND,34817,3801,31016,5577,0,0,3488,5664,1860,3804,0,0,0,6471,86187,0,0
