1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1985:Q2,189290,9418,178951,96,825,189290,1216,1216,8668,10120,21331,102228,0,19061,1250,6039,7277,6768,0,2680,1436
1985:Q3,194964,9703,184348,83,830,194964,1262,1262,8786,10041,22135,106233,0,19074,1241,6024,7811,6926,0,2675,1494
1985:Q4,205915,10250,194757,72,836,205915,1431,1431,8799,10160,23367,112333,0,19894,2355,6016,8457,6998,0,2915,1759
1986:Q1,212974,10602,201431,61,880,212974,1335,1336,8985,10356,25334,116167,0,20032,1842,6054,7872,8991,0,2842,1828
1986:Q2,220862,10993,208862,52,955,220862,1611,1611,9194,10422,27072,118499,0,20241,2486,6044,9139,9103,0,3519,1921
1986:Q3,228838,11392,216455,40,951,228838,1691,1692,9461,10619,28519,121876,0,20802,2702,6047,9440,10156,0,3881,1952
1986:Q4,239394,11922,226515,36,921,239394,2427,2428,9777,11111,30394,127226,0,20952,2689,6035,8731,11865,165,3833,1761
1987:Q1,245492,12226,232288,27,951,245492,600,4502,9580,11081,33597,130552,0,20934,1655,5885,8200,13704,174,3195,1833
1987:Q2,250241,12463,236801,25,952,250241,150,5246,9269,11167,36741,130087,0,21663,1516,5871,8476,14854,193,3183,1825
1987:Q3,254693,12685,241022,22,964,254693,389,4915,8981,11214,37256,132878,0,21968,1675,5793,8353,15858,383,3086,1944
1987:Q4,258355,12865,244443,21,1026,258355,0,4444,8848,11480,37389,135701,0,22524,1593,5679,8425,16378,529,3274,2091
1988:Q1,268334,13365,253926,21,1022,268334,0,6000,13128,11576,37598,137067,0,22702,1863,5622,8596,17728,782,3491,2181
1988:Q2,265969,13246,251673,22,1028,265969,0,8473,4567,11340,37799,138662,0,23195,2292,5591,8909,18526,791,3631,2193
1988:Q3,269276,13412,254824,20,1020,269276,0,1792,11029,11596,38014,138707,0,23728,2549,5551,9156,20035,846,3917,2356
1988:Q4,274544,13671,259741,16,1116,274544,0,1336,11377,11814,38482,140264,0,24560,2685,5507,9528,21607,967,3811,2606
1989:Q1,279826,13934,264745,15,1132,279826,0,3614,9134,12140,38842,142961,0,25001,2682,5470,9843,23059,934,3620,2526
1989:Q2,284991,14192,269646,14,1139,284991,0,3834,8824,12375,39081,144298,0,25548,3380,5410,10334,24632,919,3849,2506
1989:Q3,285815,14231,270390,13,1181,285815,0,3447,8491,12039,39140,143884,0,26127,3564,5317,10876,25557,954,3959,2460
1989:Q4,287001,14288,271476,13,1224,287001,0,3351,8177,12266,39697,142206,0,26907,3995,5244,12029,25690,953,3976,2510
1990:Q1,290563,14464,274818,14,1267,290563,0,5358,9130,13970,40035,140587,0,27555,1165,5137,12104,26789,992,5254,2487
1990:Q2,284579,14163,269095,11,1310,284579,0,1954,9089,16733,40312,134444,0,28027,1209,5135,12087,27123,959,5028,2478
1990:Q3,286904,14275,271232,10,1386,286904,0,1918,9032,21943,40448,130861,0,28100,1231,5070,12693,26933,914,5290,2471
1990:Q4,287424,14299,271686,10,1429,287424,0,1629,8957,22911,40710,127373,0,28979,1245,5061,13219,28727,868,5442,2303
1991:Q1,288957,14375,273119,11,1452,288957,0,1312,8846,27323,41103,125770,0,29493,1169,5031,13111,26949,951,5737,2162
1991:Q2,290203,14436,274278,10,1479,290203,0,1399,8704,31018,41191,122993,0,30006,1069,4963,13388,27182,923,5205,2162
1991:Q3,282656,14057,267078,10,1511,282656,0,387,8492,30849,41530,116673,0,29962,1000,4885,13489,25932,2138,5157,2162
