1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1979:Q4,418854,2095,1573,0,198291,7957,4888,9381,6428,169637,153247,34825,118422,38890,865,0,0,0,1290,22603,396452,0,0,0,197650,143546,1600,394,53262,1514
1980:Q1,426475,1063,1510,0,202875,7302,4917,9870,6462,174324,159290,36895,122395,36239,919,0,0,0,1334,23245,406483,0,0,0,200140,150151,1676,427,54089,1643
1980:Q2,439686,1733,1622,0,204813,8196,5135,9739,6338,175405,164941,39377,125564,40387,967,0,0,0,1380,23843,416828,0,0,0,202584,157384,1805,480,54575,1844
1980:Q3,452727,1196,2314,0,210284,10978,5338,10303,6466,177199,168268,40206,128062,43757,1021,0,0,0,1427,24460,427340,0,0,0,204983,164801,1930,507,55119,1951
1980:Q4,463659,2643,2423,0,212104,10142,5838,11144,6701,178279,172492,41411,131081,46271,1093,0,0,0,1476,25157,437873,0,0,0,207333,171960,1996,577,56007,2217
1981:Q1,475970,1765,3020,0,219418,12795,7206,12256,6832,180329,176128,43211,132917,47055,1168,0,0,0,1527,25889,448046,0,0,0,209657,178243,2002,584,57560,2248
1981:Q2,486939,1984,4253,0,224740,14088,6952,13667,6956,183077,179598,44939,134659,46958,1231,0,0,0,1579,26596,457736,0,0,0,211972,183634,1951,612,59567,2353
1981:Q3,494754,2557,5351,0,230364,17278,7192,14322,7044,184528,183078,47042,136036,43006,1329,0,0,0,1633,27436,468328,0,0,0,214202,189900,1894,635,61697,2441
1981:Q4,506888,3161,6673,0,232678,17564,8167,14293,7151,185503,186453,48706,137747,46160,1507,0,0,0,1689,28567,482191,0,0,0,216270,199792,1882,739,63508,2841
1982:Q1,514966,794,7186,0,242105,19084,11071,15157,7501,189292,188843,50013,138830,42509,1791,0,0,0,1030,30708,495328,0,0,0,218152,209369,1915,742,65150,1690
1982:Q2,526316,1592,8123,0,249074,20631,10952,16274,7876,193341,191042,51370,139672,40768,2208,0,0,0,1038,32471,509631,0,0,0,219822,220367,1988,833,66621,1856
1982:Q3,543525,1651,8611,0,256874,22359,12705,17307,8241,196262,192900,52423,140477,45464,2607,0,0,0,1027,34391,525934,0,0,0,221457,233354,2062,818,68243,1834
1982:Q4,566758,3439,7819,0,267514,21735,16529,18634,9047,201569,194950,52961,141989,52890,2837,0,0,0,1075,36234,539147,0,0,0,223233,242900,2099,667,70248,2119
1983:Q1,584452,1305,8087,0,279443,24737,19715,19319,9219,206453,196756,53427,143329,57377,2904,0,0,0,1060,37520,552557,0,0,0,225118,252335,2100,658,72346,2149
