1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q3,3804,3804,0,0,0,1339,1339,0,0,0,0,0,0,0,5008,5008,14892,0,14892,0,33371,0,12890,10761,9720,0,0,0,0,0,1730,1730,0,0,0,0,0,63789,269181,121800,63789,269181,121800
1970:Q4,3847,3847,0,0,0,2330,2330,0,0,0,0,0,0,0,5118,5118,15212,0,15212,0,34235,0,13240,11016,9979,0,0,0,0,0,1858,1858,0,0,0,0,0,60923,277207,124400,60923,277207,124400
1971:Q1,3767,3767,0,0,0,3425,3425,0,0,0,0,0,0,0,5206,5206,15545,0,15545,0,35096,0,13563,11260,10273,0,0,0,0,0,2004,2004,0,0,0,0,0,56986,283583,130056,56986,283583,130056
1971:Q2,3688,3688,0,0,0,2112,2112,0,0,0,0,0,0,0,5282,5282,15864,0,15864,0,35932,0,13864,11494,10574,0,0,0,0,0,2029,2029,0,0,0,0,0,59123,289206,137228,59123,289206,137228
1971:Q3,3682,3682,0,0,0,1450,1450,0,0,0,0,0,0,0,5356,5356,16183,0,16183,0,36812,0,14165,11757,10890,0,0,0,0,0,2097,2097,0,0,0,0,0,59271,295822,144475,59271,295822,144475
1971:Q4,3665,3665,0,0,0,1789,1789,0,0,0,0,0,0,0,5436,5436,16511,0,16511,0,37805,0,14484,12091,11230,0,0,0,0,0,2199,2199,0,0,0,0,0,57859,302366,151502,57859,302366,151502
1972:Q1,3557,3557,0,0,0,2008,2008,0,0,0,0,0,0,0,5556,5556,16867,0,16867,0,38909,0,14814,12502,11593,0,0,0,0,0,2350,2350,250,0,250,0,0,54616,309520,158580,54616,309520,158580
1972:Q2,3543,3543,0,0,0,1746,1746,0,0,0,0,0,0,0,5701,5701,17238,0,17238,0,40125,0,15146,12994,11985,0,0,0,0,0,2426,2426,500,0,500,0,0,55649,315398,166918,55649,315398,166918
1972:Q3,3529,3529,0,0,0,1444,1444,0,0,0,0,0,0,0,5849,5849,17620,0,17620,0,41385,0,15497,13506,12382,0,0,0,0,0,2537,2537,750,0,750,0,0,55020,322420,175102,55020,322420,175102
1972:Q4,3499,3499,0,0,0,1548,1548,0,0,0,0,0,0,0,5976,5976,18012,0,18012,0,42624,0,15886,13977,12761,0,0,0,0,0,2722,2722,1000,0,1000,0,0,50454,329163,182091,50454,329163,182091
