1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q2,422930,3483,16965,866,117647,2093,75414,7035,28458,4647,272829,75234,2697,154661,40237,1691,0,0,219,9230,390720,-1216,131723,242334,1096,2724,2724,0,3270,883,69,9837,0,0,9837,264,0,ND
1963:Q3,431156,4550,16621,1572,116808,1948,73664,7268,29553,4375,281321,76661,2709,160424,41527,1755,0,0,224,8305,399092,-343,130898,247248,1854,2771,2736,35,4024,863,69,11708,0,0,11708,264,0,ND
1963:Q4,445524,4259,17049,988,119077,2044,75022,7407,30543,4061,293067,81834,2890,165536,42807,1817,0,0,229,9038,413344,-641,138035,255852,1022,3152,2919,233,4784,710,72,10358,0,0,10358,276,0,ND
1964:Q1,447770,4500,16611,2151,118740,2225,73765,6906,31312,4532,294655,78260,3102,169568,43725,1908,0,0,235,8970,415141,-2170,131723,263318,2425,3553,3133,420,4168,914,72,11138,0,0,11138,276,0,ND
1964:Q2,460564,4539,16973,1190,117300,2131,71471,7169,31957,4572,308994,84780,3149,174892,46173,1952,0,0,240,9376,426899,-2356,136026,271028,1533,3713,3180,533,4769,846,72,11268,0,0,11268,278,0,ND
1964:Q3,471400,4780,17121,1969,120433,2354,73089,7215,33236,4539,314987,83670,3175,180420,47722,1995,0,0,246,9869,437516,-1296,137959,277057,2017,3884,3207,677,4837,886,73,12099,0,0,12099,279,0,ND
1964:Q4,487779,4532,17850,1405,124310,2505,75302,8060,34066,4377,327340,90007,3385,185076,48872,2020,0,0,251,10071,453004,-1527,144898,286271,1914,4192,3419,773,5325,935,77,10919,0,0,10919,294,0,ND
1965:Q1,491638,4840,17277,2080,122200,2084,71949,8318,35415,4434,333369,91087,3325,188902,50055,2068,0,0,257,9547,457044,-2160,138236,295943,2689,4251,3358,893,4747,769,77,12492,0,0,12492,296,0,ND
1965:Q2,507721,4978,18229,1587,121437,2253,69437,8249,37046,4452,348101,97692,3355,194040,53014,2030,0,0,263,11096,472166,-570,143051,303524,2290,4879,3389,1490,5586,678,76,12652,0,0,12652,294,0,ND
1965:Q3,514104,5370,17797,2295,121995,2328,68500,8451,38400,4316,354309,97101,3314,199422,54472,2243,0,0,270,9825,478646,-1090,140390,310388,3221,4864,3347,1517,5802,784,76,14211,0,0,14211,291,0,ND
