1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q3,-52,0,-52,0,-52,0,-52,-148,36,0,-184,0,-60,-60,0,156,24,132,0
1955:Q4,-256,0,-256,0,-256,0,-256,-120,8,0,-128,0,-32,-32,0,-104,24,-128,0
1956:Q1,16,0,16,0,16,0,16,-164,-56,0,-108,0,-48,-48,0,228,104,124,0
1956:Q2,-276,0,-276,0,-276,0,-276,-204,80,0,-284,0,-412,-412,0,340,332,8,0
1956:Q3,292,0,292,0,292,0,292,620,316,0,304,0,-656,-656,0,328,340,-12,0
1956:Q4,2224,0,2224,0,2224,0,2224,2180,-156,0,2336,0,-104,-104,0,148,260,-112,0
1957:Q1,-80,0,-80,0,-80,0,-80,-232,-36,0,-196,0,-1392,-1392,0,1544,1428,116,0
1957:Q2,244,0,244,0,244,0,244,292,36,0,256,0,-1304,-1304,0,1256,1268,-12,0
1957:Q3,996,0,996,0,996,0,996,1016,60,0,956,0,-108,-108,0,88,48,40,0
1957:Q4,308,0,308,0,308,0,308,140,-192,0,332,0,-392,-392,0,560,584,-24,0
1958:Q1,268,0,268,0,268,0,268,376,68,0,308,0,1480,1480,0,-1588,-1548,-40,0
1958:Q2,168,0,168,0,168,0,168,52,-148,0,200,0,4300,4300,0,-4184,-4152,-32,0
1958:Q3,-212,0,-212,0,-212,0,-212,-36,-4,0,-32,0,1932,1932,0,-2108,-1928,-180,0
1958:Q4,-292,0,-292,0,-292,0,-292,-548,-28,0,-520,0,1388,1388,0,-1132,-1360,228,0
1959:Q1,-660,0,-660,0,-660,0,-660,-680,-16,0,-664,0,384,384,0,-364,-368,4,0
1959:Q2,1272,0,1272,0,1272,0,1272,1260,-12,0,1272,0,2960,2960,0,-2948,-2948,0,0
1959:Q3,-104,0,-104,0,-104,0,-104,640,188,0,452,0,668,668,0,-1412,-856,-556,0
1959:Q4,-352,0,-352,0,-352,0,-352,-944,-148,0,-796,0,288,288,0,304,-140,444,0
1960:Q1,-436,0,-436,0,-436,0,-436,-468,-8,0,-460,0,200,200,0,-168,-192,24,0
1960:Q2,-324,0,-324,0,-324,0,-324,-260,-32,0,-228,0,376,376,0,-440,-344,-96,0
1960:Q3,-408,0,-408,0,-408,0,-408,-308,-4,0,-304,0,2552,2552,0,-2652,-2548,-104,0
1960:Q4,-600,0,-600,0,-600,0,-600,-632,-12,0,-620,0,3684,3684,0,-3652,-3672,20,0
1961:Q1,0,0,0,0,-100,100,0,-186,32,0,-268,50,1484,1484,0,-1298,-1516,168,50
1961:Q2,600,0,600,0,-44,644,600,514,32,0,160,322,-680,-680,0,766,648,-204,322
1961:Q3,1436,0,1436,0,1932,-496,1436,1632,112,0,1768,-248,584,584,0,-780,-696,164,-248
1961:Q4,-1032,0,-1032,0,-1248,216,-1032,-1320,-92,0,-1336,108,2040,2040,0,-1752,-1948,88,108
1962:Q1,-492,0,-492,0,-948,456,-492,-804,-92,0,-940,228,1216,1216,0,-904,-1124,-8,228
1962:Q2,1120,0,1120,0,-176,1296,1120,700,228,0,-176,648,464,464,0,-44,-692,0,648
1962:Q3,-1740,0,-1740,0,-1324,-416,-1740,-1856,-308,0,-1340,-208,1780,1780,0,-1664,-1472,16,-208
1962:Q4,-1460,0,-1460,0,-56,-1404,-1460,-490,256,0,-44,-702,100,100,0,-1070,-356,-12,-702
1963:Q1,316,0,316,0,184,132,316,210,-44,0,188,66,444,444,0,-338,-400,-4,66
1963:Q2,-28,0,-28,0,-4,-24,-28,276,116,0,172,-12,464,464,0,-768,-580,-176,-12
1963:Q3,-124,0,-124,0,-236,112,-124,-544,-180,0,-420,56,784,784,0,-364,-604,184,56
1963:Q4,172,0,172,0,-60,232,172,200,124,0,-40,116,152,152,0,-180,-276,-20,116
1964:Q1,388,0,388,0,-524,912,388,-60,24,0,-540,456,184,184,0,264,-208,16,456
1964:Q2,-1504,0,-1504,0,-472,-1032,-1504,-700,292,0,-476,-516,-292,-292,0,-512,0,4,-516
1964:Q3,-360,0,-360,0,-540,180,-360,-382,72,0,-544,90,-80,-80,0,102,8,4,90
1964:Q4,1292,0,1292,0,472,820,1292,490,-388,0,468,410,688,688,0,114,-300,4,410
1965:Q1,-40,0,-40,0,-272,232,-40,-176,-32,0,-260,116,3332,3332,0,-3196,-3300,-12,116
1965:Q2,2088,0,2088,0,1864,224,2088,2128,156,0,1860,112,2360,2360,0,-2400,-2516,4,112
1965:Q3,332,0,332,0,-1320,1652,332,-674,-192,0,-1308,826,496,496,0,510,-304,-12,826
1965:Q4,-608,0,-608,0,104,-712,-608,-232,24,0,100,-356,476,476,0,-852,-500,4,-356
1966:Q1,-1424,0,-1424,0,-536,-888,-1424,-816,124,0,-496,-444,272,272,0,-880,-396,-40,-444
1966:Q2,564,0,564,0,-88,652,564,210,-32,0,-84,326,836,836,0,-482,-804,-4,326
1966:Q3,364,0,364,0,-1340,1704,364,-512,8,0,-1372,852,692,692,0,184,-700,32,852
1966:Q4,508,0,508,0,-184,692,508,94,-88,0,-164,346,484,484,0,-70,-396,-20,346
1967:Q1,-3904,0,-3904,0,124,-4028,-3904,-1874,4,0,136,-2014,204,204,0,-2234,-208,-12,-2014
1967:Q2,1736,0,1736,0,40,1696,1736,812,-72,0,36,848,60,60,0,864,12,4,848
1967:Q3,1868,0,1868,0,20,1848,1868,988,48,0,16,924,368,368,0,512,-416,4,924
1967:Q4,4772,0,4772,0,192,4580,4772,2538,48,0,200,2290,4048,4048,0,-1814,-4096,-8,2290
1968:Q1,1800,0,1800,0,228,1572,1800,1546,544,0,216,786,5448,5448,0,-5194,-5992,12,786
1968:Q2,636,0,636,0,1704,-1068,636,1566,380,0,1720,-534,88,88,0,-1018,-468,-16,-534
1968:Q3,1988,0,1988,0,92,1896,1988,1340,296,0,96,948,-296,-296,0,944,0,-4,948
1968:Q4,3756,0,3756,0,1456,2300,3756,3138,548,0,1440,1150,-548,-548,0,1166,0,16,1150
1969:Q1,404,0,404,0,124,280,404,40,-224,0,124,140,224,224,0,140,0,0,140
1969:Q2,-72,0,-72,0,912,-984,-72,1692,1268,0,916,-492,-1268,-1268,0,-496,0,-4,-492
1969:Q3,2700,0,2700,0,932,1768,2700,1848,44,0,920,884,-44,-44,0,896,0,12,884
1969:Q4,-2176,0,-2176,0,2168,-4344,-2176,2796,2780,0,2188,-2172,-2780,-2780,0,-2192,0,-20,-2172
1970:Q1,4836,3468,1368,3680,1012,-3324,4836,-798,-3824,3680,1008,-1662,3292,-176,3468,2342,4000,4,-1662
1970:Q2,-4044,0,-4044,148,-908,-3284,-4044,-2422,-56,148,-872,-1642,56,56,0,-1678,0,-36,-1642
1970:Q3,-1624,0,-1624,136,-1624,-136,-1624,-2192,-580,136,-1680,-68,1580,1580,0,-1012,-1000,56,-68
1970:Q4,-2472,0,-2472,-560,-36,-1876,-2472,-1602,-148,-560,44,-938,1688,1688,0,-2558,-1540,-80,-938
1971:Q1,2700,2868,-168,2368,-1020,-1516,2700,234,-436,2368,-940,-758,3304,436,2868,-838,0,-80,-758
1971:Q2,-1528,0,-1528,-784,-1008,264,-1528,-1972,-224,-784,-1096,132,1824,1824,0,-1380,-1600,88,132
1971:Q3,-4308,0,-4308,-600,-3404,-304,-4308,-4540,-400,-600,-3388,-152,1200,1200,0,-968,-800,-16,-152
1971:Q4,76,0,76,12,32,32,76,52,-4,12,28,16,4,4,0,20,0,4,16
1972:Q1,5376,2840,2536,2840,4,-308,5376,2694,0,2840,8,-154,5016,2176,2840,-2334,-2176,-4,-154
1972:Q2,240,0,240,-28,-740,1008,240,-260,0,-28,-736,504,0,0,0,500,0,-4,504
1972:Q3,-372,0,-372,0,60,-432,-372,-148,-12,0,80,-216,12,12,0,-236,0,-20,-216
1972:Q4,-200,0,-200,0,64,-264,-200,-88,0,0,44,-132,0,0,0,-112,0,20,-132
1973:Q1,-852,0,-852,0,52,-904,-852,-392,0,0,60,-452,0,0,0,-460,0,-8,-452
1973:Q2,-44,0,-44,-36,-32,24,-44,-4,0,-36,20,12,0,0,0,-40,0,-52,12
1973:Q3,92,0,92,0,52,40,92,20,0,0,0,20,0,0,0,72,0,52,20
1973:Q4,172,0,172,0,60,112,172,116,0,0,60,56,0,0,0,56,0,0,56
1974:Q1,984,0,984,0,836,148,984,934,0,0,860,74,0,0,0,50,0,-24,74
1974:Q2,1432,0,1432,116,976,340,1432,1246,0,116,960,170,0,0,0,186,0,16,170
1974:Q3,4012,0,4012,492,2912,608,4012,3680,0,492,2884,304,0,0,0,332,0,28,304
1974:Q4,-548,0,-548,80,336,-964,-548,-374,-340,80,368,-482,0,0,0,-174,340,-32,-482
1975:Q1,1300,0,1300,16,1228,56,1300,1200,128,16,1028,28,0,0,0,100,-128,200,28
1975:Q2,116,0,116,64,28,24,116,84,0,64,8,12,0,0,0,32,0,20,12
1975:Q3,1332,0,1332,100,380,852,1332,962,84,100,352,426,0,0,0,370,-84,28,426
1975:Q4,644,0,644,84,228,332,644,490,0,84,240,166,0,0,0,154,0,-12,166
1976:Q1,3108,0,3108,180,948,1980,3108,2142,0,180,972,990,0,0,0,966,0,-24,990
1976:Q2,6312,0,6312,-56,3192,3176,6312,4784,0,-56,3252,1588,4,4,0,1524,-4,-60,1588
1976:Q3,1632,0,1632,72,2864,-1304,1632,2272,0,72,2852,-652,0,0,0,-640,0,12,-652
1976:Q4,-828,0,-828,116,1844,-2788,-828,498,0,116,1776,-1394,0,0,0,-1326,0,68,-1394
1977:Q1,1448,0,1448,0,1556,-108,1448,1594,88,0,1560,-54,-240,-240,0,94,152,-4,-54
1977:Q2,96,0,96,332,320,-556,96,418,64,332,300,-278,0,0,0,-322,-64,20,-278
1977:Q3,-448,0,-448,36,-532,48,-448,-372,100,36,-532,24,0,0,0,-76,-100,0,24
1977:Q4,-68,0,-68,116,-168,-16,-68,-304,-248,116,-164,-8,-244,-244,0,480,492,-4,-8
1978:Q1,-748,0,-748,64,-1296,484,-748,-998,-4,64,-1300,242,4,4,0,246,0,4,242
1978:Q2,-992,0,-992,416,-1748,340,-992,-1134,0,416,-1720,170,0,0,0,142,0,-28,170
1978:Q3,-460,0,-460,172,-780,148,-460,-542,0,172,-788,74,0,0,0,82,0,8,74
1978:Q4,-988,0,-988,-5648,-13100,17760,-988,-9856,0,-5648,-13088,8880,-260,-260,0,9128,260,-12,8880
