1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q4,2540013,0,103731,342144,0,138576,78992,6265,38208,15111,48766,2159,46607,0,663217,42973,0,115533,520252,324623,195629,543197,21624,410869,0,402322,245974,108567,13404,22426,11951,4600,3947
1968:Q1,2523499,0,99805,350920,0,141562,83471,5670,37137,15284,48881,1569,47312,0,614335,40523,0,116735,532409,337147,195262,556272,22057,402468,0,393697,249378,107272,4976,22257,9814,4740,4031
1968:Q2,2648642,0,101539,356638,0,143180,82132,6475,38066,16507,51479,3722,47757,0,697357,45972,0,117919,547540,340310,207230,564493,22525,415182,0,406261,253675,111404,6276,24930,9976,4800,4121
1968:Q3,2696426,0,105852,364408,0,143841,83482,5982,37621,16756,53888,5153,48735,0,704969,48300,0,119108,561505,348726,212779,571546,23009,422781,0,413578,258183,114160,5424,25654,10157,4990,4213
1968:Q4,2830749,0,112659,372312,0,142391,81735,6120,36490,18046,53960,4878,49082,0,791225,49529,0,120321,576542,357821,218721,588293,23517,436144,0,426692,262934,119324,6808,27320,10306,5150,4302
1969:Q1,2814442,0,105257,377319,0,153398,89044,5981,40035,18338,48804,1483,47321,0,744978,48554,0,121558,590724,370443,220281,599729,24122,434920,0,425240,264857,118884,4866,26142,10491,5290,4390
1969:Q2,2807179,0,106702,382216,0,151756,82342,7983,42266,19165,50309,3271,47038,0,707381,46190,0,122811,606475,382647,223828,608676,24664,446332,0,436394,269738,123675,5892,26400,10689,5460,4478
1969:Q3,2816170,0,105362,380750,0,166380,90872,9209,45302,20997,47642,213,47429,0,685998,46004,0,124080,622258,395980,226278,612644,25052,452181,0,441993,274512,125813,5043,25754,10871,5620,4568
1969:Q4,2815339,0,110925,381127,0,173775,93166,11305,47244,22060,51888,2651,49237,0,638787,45578,0,125359,638886,407950,230936,623263,25752,463780,0,453272,278689,129231,7557,26775,11020,5820,4688
1970:Q1,2825884,0,106909,382156,0,182021,98271,14195,48079,21476,48591,1482,47109,0,614739,46279,0,126700,659467,425625,233842,632629,26393,456241,0,445469,275814,126663,5199,26458,11335,5980,4792
1970:Q2,2730605,0,113195,390277,0,174668,88736,14982,48227,22723,49323,1354,47969,0,485356,37027,0,127975,675310,449521,225789,650391,27083,462800,0,451801,278674,129421,5751,26434,11521,6100,4899
1970:Q3,2859199,0,117103,408150,0,176650,85911,15735,48542,26462,51592,1762,49830,0,564848,41919,0,129291,695984,454770,241214,645880,27782,469739,0,458431,282347,131424,5633,27288,11739,6300,5008
1970:Q4,2963484,0,118500,423312,0,175932,83041,15943,47144,29804,53672,3564,50108,0,617555,44501,0,130699,716279,462530,253749,654582,28452,478741,0,467163,286015,133660,7493,28088,11907,6460,5118
1971:Q1,3092602,0,118783,446974,0,173032,79938,14951,46097,32046,51838,2478,49360,0,677215,50329,0,132198,738457,470625,267832,674669,29108,481495,0,469639,289592,134072,5154,28635,12186,6650,5206
1971:Q2,3146279,0,124397,462553,0,170459,76155,13112,46375,34817,52070,2279,49791,0,673031,50571,0,133782,759971,485557,274414,689717,29728,495146,0,483064,295363,138912,6879,29794,12116,6800,5282
1971:Q3,3189618,0,126293,475713,0,176141,78357,13937,46564,37283,50141,1507,48634,0,658628,49798,0,135412,781999,499568,282431,705146,30348,507891,0,495415,302822,143465,6040,30737,12351,7120,5356
1971:Q4,3300349,0,131844,490887,0,172223,74200,14615,45970,37438,50938,3597,47341,0,707302,53006,0,137050,805219,511727,293492,720885,30995,524086,0,511310,309454,149243,8094,32037,12482,7340,5436
1972:Q1,3412921,0,130583,511155,0,174067,76873,12831,46559,37804,49756,2096,47660,0,748293,55084,0,138719,830991,522716,308275,742592,31681,531333,0,518277,316038,148847,6401,34295,12696,7500,5556
1972:Q2,3467966,0,130848,529177,0,172125,75289,11668,46909,38259,50502,2326,48176,0,744562,54180,0,140425,857232,537965,319267,756530,32384,551272,0,537901,324462,156222,8386,35949,12882,7670,5701
1972:Q3,3559818,0,135012,548894,0,173502,76500,10943,47181,38878,48996,612,48384,0,764016,53712,0,142160,883637,552542,331095,776772,33117,566724,0,553025,334408,161529,7181,36811,13096,7850,5849
1972:Q4,3760516,0,143997,564036,0,172544,77357,8898,47684,38605,50969,2709,48260,0,881667,56383,0,143924,911037,561708,349329,802061,33898,585423,0,571267,343552,168757,8616,37093,13249,8180,5976
1973:Q1,3752128,0,140820,587222,0,178904,80898,8537,50607,38862,48140,309,47831,0,811957,50224,0,145728,924593,575320,349273,829893,34647,597546,61,583178,351550,171528,10062,36512,13526,8220,6087
1973:Q2,3750199,0,143495,602169,0,180522,81852,8472,51521,38677,49631,1416,48215,0,744190,45290,0,147582,938527,589446,349081,863382,35411,616455,144,601606,361814,180398,10434,35401,13559,8520,6185
1973:Q3,3878219,0,143080,614536,0,191361,87064,9481,54174,40642,48255,648,47607,0,785240,49090,0,149445,956046,589549,366497,904991,36176,635549,255,620316,372134,186695,12058,35633,13796,8700,6278
1973:Q4,3807158,0,152350,624050,0,193539,88480,8332,55136,41591,50804,3573,47231,0,647014,43695,0,151271,969401,610950,358451,938100,36934,651963,400,636277,382218,192980,11894,35323,13862,8910,6376
1974:Q1,3839812,0,148134,645423,263,201800,95978,5738,56629,43455,49251,1080,48171,0,612227,41490,0,153053,992808,625132,367676,957695,37667,656214,578,639936,389858,190460,10248,35216,14154,9170,6530
1974:Q2,3825685,0,146991,662689,570,202003,90833,6970,57899,46301,52085,3135,48950,0,537702,37557,0,154785,1014934,647253,367681,977985,38384,677007,787,659905,400439,196777,12890,35614,14185,9600,6715
1974:Q3,3764454,0,149091,668783,1386,217892,95248,11510,62394,48740,52982,3044,49938,0,395999,29123,0,156539,1033504,685368,348136,1020052,39103,695427,1028,677711,411381,201241,14225,36432,14432,9780,6908
1974:Q4,3853870,0,157533,679496,2379,227446,96253,13669,62164,55360,54027,3433,50594,0,391559,31813,0,158390,1060356,692858,367498,1051035,39837,708618,1300,690172,419339,201926,17466,36967,14474,10060,7086
1975:Q1,4027339,0,144896,707073,3620,226921,93872,11529,62603,58917,47484,2782,44702,0,485022,37436,0,161437,1092874,692724,400150,1079878,40699,707942,1603,688974,424313,195912,16443,37620,14686,10107,7258
1975:Q2,4200442,0,154820,725697,3661,225828,96690,8769,63059,57310,50693,3586,47107,0,556439,42283,0,163786,1126023,684416,441607,1109649,41563,721972,1937,702394,434575,195933,18878,38305,14703,10210,7431
1975:Q3,4204035,0,157040,740917,3708,240304,105611,7681,65177,61835,50994,1519,49475,0,485972,36835,0,165845,1151659,708561,443098,1128199,42562,742057,2303,721767,446324,201183,20117,39157,14986,10391,7596
1975:Q4,4338067,0,158857,760994,3645,252707,111787,7584,66809,66527,55203,4722,50481,0,523768,38749,0,168615,1182138,715140,466998,1149585,43806,765776,2700,744777,459087,206996,23548,40149,14997,10555,7744
1976:Q1,4498351,0,154281,789635,3557,251093,110786,6963,69757,63587,56153,4797,51356,0,609921,42619,0,170603,1205619,709402,496217,1169734,45136,775307,3131,753581,469994,204908,21579,41915,15185,10693,7902
