date,Closed-end funds; total financial assets,Closed-end funds; debt securities; asset,Closed-end funds; Treasury securities; asset,Closed-end funds; municipal securities; asset,Closed-end funds; corporate and foreign bonds; asset,Closed-end funds; corporate equities; asset,Closed-end funds; total financial assets,Closed-end funds; total financial assets in domestic equity funds,Closed-end funds; total financial assets in world equity funds,Closed-end funds; total financial assets in domestic taxable bond funds,Closed-end funds; total financial assets in municipal bond funds,Closed-end funds; total financial assets in world bond funds
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1992:Q2,21716,18804,1460,15060,2284,2912,21716,ND,ND,ND,ND,ND
1992:Q3,16460,18484,1360,14220,2904,-2024,16460,ND,ND,ND,ND,ND
1992:Q4,17840,20152,1788,11804,6560,-2312,17840,ND,ND,ND,ND,ND
1993:Q1,23696,19984,2072,12072,5840,3712,23696,ND,ND,ND,ND,ND
1993:Q2,23696,19984,2072,12072,5840,3712,23696,ND,ND,ND,ND,ND
1993:Q3,23696,19984,2072,12072,5840,3712,23696,ND,ND,ND,ND,ND
1993:Q4,23696,19984,2072,12072,5840,3712,23696,ND,ND,ND,ND,ND
1994:Q1,2364,-3700,-952,1620,-4368,6064,2364,ND,ND,ND,ND,ND
1994:Q2,2364,-3700,-952,1620,-4368,6064,2364,ND,ND,ND,ND,ND
1994:Q3,2364,-3700,-952,1620,-4368,6064,2364,ND,ND,ND,ND,ND
1994:Q4,2364,-3700,-952,1620,-4368,6064,2364,ND,ND,ND,ND,ND
1995:Q1,7892,8512,-1708,4796,5424,-620,7892,ND,ND,ND,ND,ND
1995:Q2,7892,8512,-1708,4796,5424,-620,7892,ND,ND,ND,ND,ND
1995:Q3,7892,8512,-1708,4796,5424,-620,7892,ND,ND,ND,ND,ND
1995:Q4,7892,8512,-1708,4796,5424,-620,7892,ND,ND,ND,ND,ND
1996:Q1,300,2940,116,960,1864,-2640,300,ND,ND,ND,ND,ND
1996:Q2,300,2940,116,960,1864,-2640,300,ND,ND,ND,ND,ND
1996:Q3,300,2940,116,960,1864,-2640,300,ND,ND,ND,ND,ND
1996:Q4,300,2940,116,960,1864,-2640,300,ND,ND,ND,ND,ND
1997:Q1,-11148,-1132,-1400,304,-36,-10016,-11148,ND,ND,ND,ND,ND
1997:Q2,-11148,-1132,-1400,304,-36,-10016,-11148,ND,ND,ND,ND,ND
1997:Q3,-11148,-1132,-1400,304,-36,-10016,-11148,ND,ND,ND,ND,ND
1997:Q4,-11148,-1132,-1400,304,-36,-10016,-11148,ND,ND,ND,ND,ND
1998:Q1,-6808,4932,-1020,1268,4684,-11740,-6808,ND,ND,ND,ND,ND
1998:Q2,-6808,4932,-1020,1268,4684,-11740,-6808,ND,ND,ND,ND,ND
1998:Q3,-6808,4932,-1020,1268,4684,-11740,-6808,ND,ND,ND,ND,ND
1998:Q4,-6808,4932,-1020,1268,4684,-11740,-6808,ND,ND,ND,ND,ND
1999:Q1,13280,7820,264,7120,436,5460,13280,ND,ND,ND,ND,ND
1999:Q2,22520,15000,-44,11512,3532,7520,22520,ND,ND,ND,ND,ND
1999:Q3,-49392,13256,-156,14084,-672,-62648,-49392,ND,ND,ND,ND,ND
1999:Q4,-5768,2376,-4800,3324,3852,-8144,-5768,ND,ND,ND,ND,ND
2000:Q1,2500,5468,152,3608,1708,-2968,2500,ND,ND,ND,ND,ND
2000:Q2,476,-4268,-160,-2076,-2032,4744,476,ND,ND,ND,ND,ND
2000:Q3,-13992,-6700,-36,-1996,-4668,-7292,-13992,ND,ND,ND,ND,ND
2000:Q4,-11004,-16748,-3608,-7472,-5668,5744,-11004,ND,ND,ND,ND,ND
2001:Q1,-4844,-6944,-3728,3656,-6872,2100,-4844,ND,ND,ND,ND,ND
2001:Q2,-3948,-116,408,5448,-5972,-3832,-3948,ND,ND,ND,ND,ND
2001:Q3,2376,-496,-12,7980,-8464,2872,2376,ND,ND,ND,ND,ND
2001:Q4,14172,20416,3584,10720,6112,-6244,14172,ND,ND,ND,ND,ND
2002:Q1,13632,14616,-7104,8640,13080,-984,13632,ND,ND,ND,ND,ND
2002:Q2,15656,2360,-740,8176,-5076,13296,15656,ND,ND,ND,ND,ND
2002:Q3,22188,-176,-12,8812,-8976,22364,22188,ND,ND,ND,ND,ND
2002:Q4,20396,17768,-3260,19764,1264,2628,20396,ND,ND,ND,ND,ND
2003:Q1,31108,25976,324,3928,21724,5132,31108,ND,ND,ND,ND,ND
2003:Q2,61336,57692,468,-1240,58464,3644,61336,ND,ND,ND,ND,ND
2003:Q3,59356,42344,1116,8376,32852,17012,59356,ND,ND,ND,ND,ND
2003:Q4,22568,15676,568,1664,13444,6892,22568,ND,ND,ND,ND,ND
2004:Q1,61152,9028,5144,-1840,5724,52124,61152,ND,ND,ND,ND,ND
2004:Q2,36180,22556,2508,5820,14228,13624,36180,ND,ND,ND,ND,ND
2004:Q3,20220,-444,852,-2044,748,20664,20220,ND,ND,ND,ND,ND
2004:Q4,11692,11604,640,-2356,13320,88,11692,ND,ND,ND,ND,ND
2005:Q1,43836,10636,736,1076,8824,33200,43836,ND,ND,ND,ND,ND
2005:Q2,26588,3680,1440,2548,-308,22908,26588,ND,ND,ND,ND,ND
2005:Q3,16048,-756,-1024,-1668,1936,16804,16048,ND,ND,ND,ND,ND
2005:Q4,-4280,-4724,-124,-1080,-3520,444,-4280,ND,ND,ND,ND,ND
2006:Q1,5968,10444,-1648,-924,13016,-4476,5968,ND,ND,ND,ND,ND
2006:Q2,19380,16472,1660,1940,12872,2908,19380,ND,ND,ND,ND,ND
2006:Q3,-7608,-7880,80,-2480,-5480,272,-7608,ND,ND,ND,ND,ND
2006:Q4,16128,5304,852,1556,2896,10824,16128,ND,ND,ND,ND,ND
2007:Q1,47700,-1872,-804,-2260,1192,49572,47700,4448,45124,388,-2260,0
2007:Q2,43136,9516,-2056,-1648,13220,33620,43136,6088,27532,452,-1648,10712
2007:Q3,18896,5456,-676,-300,6432,13440,18896,7876,5564,5752,-300,0
2007:Q4,3748,1948,-3336,684,4600,1800,3748,1384,416,1276,684,-12
2008:Q1,-8900,-2320,-924,-184,-1212,-6580,-8900,-2808,-3772,-2092,-184,-44
2008:Q2,-31724,-23364,-824,-8636,-13904,-8360,-31724,-8360,0,-12212,-8636,-2520
2008:Q3,-22204,-15308,-1828,-12480,-1000,-6896,-22204,-7464,568,-2824,-12480,0
2008:Q4,-26928,-13808,-6192,-3056,-4560,-13120,-26928,-9576,-3544,-10508,-3056,-236
2009:Q1,-5048,-1580,324,-168,-1736,-3468,-5048,-1944,-1524,-1408,-168,-8
2009:Q2,-3348,-2136,1632,-1296,-2472,-1212,-3348,-1512,300,-728,-1296,-112
2009:Q3,-4712,-1640,884,336,-2860,-3072,-4712,-4504,1432,-1976,336,0
2009:Q4,72,2400,2076,176,148,-2328,72,-1504,-824,964,176,1264
2010:Q1,288,1244,2488,-744,-500,-956,288,-752,-204,1988,-744,0
2010:Q2,4112,2160,-528,900,1788,1952,4112,1964,-12,1260,900,0
2010:Q3,10772,6028,460,3456,2112,4744,10772,4740,4,2572,3456,0
2010:Q4,6548,4076,444,864,2768,2472,6548,2028,444,1780,864,1432
2011:Q1,6560,1200,552,-900,1548,5360,6560,5136,224,2096,-900,4
2011:Q2,9680,4640,-88,3840,888,5040,9680,3836,1204,800,3840,4
2011:Q3,3424,-724,-1540,-720,1536,4148,3424,868,3280,0,-720,0
2011:Q4,4404,1080,-52,1080,52,3324,4404,2992,332,0,1080,0
2012:Q1,1904,1144,1132,-1216,1228,760,1904,244,516,-108,-1216,2472
2012:Q2,10320,6144,-460,3808,2796,4176,10320,3172,1004,2332,3808,8
2012:Q3,15620,12868,760,4896,7212,2752,15620,3204,-452,7936,4896,36
2012:Q4,17696,13568,-148,4920,8796,4128,17696,4744,-616,2836,4920,5808
2013:Q1,29208,24048,2116,4672,17260,5160,29208,6064,-904,5960,4672,13416
2013:Q2,23584,19436,488,752,18196,4148,23584,4476,-328,6884,752,11792
2013:Q3,1448,760,-228,-1568,2556,688,1448,1332,-644,1684,-1568,644
2013:Q4,3820,-600,-32,-1736,1168,4420,3820,4512,-92,1156,-1736,-20
2014:Q1,4120,1500,264,2108,-872,2620,4120,2640,-20,-512,2108,-96
2014:Q2,1808,-220,324,432,-976,2028,1808,1900,128,-76,432,-580
2014:Q3,9868,624,-464,-504,1592,9244,9868,9088,156,1192,-504,-68
