1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1995:Q4,37604,206,10523,5389,4025,687,422,22851,13145,5719,3987,4024,35807,-1393,6416,20459,10325,ND
1996:Q1,37842,113,10166,5052,3997,720,397,23732,13661,5849,4222,3831,36020,-1292,6225,20899,10188,ND
1996:Q2,38436,156,10010,5260,3708,708,334,24323,14177,6084,4062,3947,36557,-1339,6474,21520,9902,ND
1996:Q3,38979,105,9719,4657,4184,619,259,24781,14506,6393,3882,4374,37029,-1324,6545,21074,10734,ND
1996:Q4,39064,174,9239,4130,4258,548,303,24853,14581,6339,3933,4798,37327,-1239,6904,20776,10886,ND
1997:Q1,40652,98,10661,4740,5132,486,303,24948,14666,6185,4097,4945,38866,-1285,6819,20238,13094,ND
1997:Q2,41510,137,10733,4840,5060,491,342,25329,15053,6124,4152,5311,39623,-1298,6993,19752,14176,ND
1997:Q3,42973,156,11668,5336,5460,440,432,25851,15360,6224,4267,5298,40991,-1246,6705,20340,15192,ND
1997:Q4,44564,143,11495,4217,6306,526,446,26287,15465,6408,4414,6639,42460,-1218,7327,20774,15577,ND
1998:Q1,46005,152,12549,4565,6991,592,401,26606,15417,6693,4496,6698,43915,-1176,7453,21320,16318,ND
1998:Q2,47607,157,12847,4340,7549,459,499,27573,15957,7077,4539,7030,45252,-1359,7670,21817,17124,ND
1998:Q3,48873,131,12922,3744,8044,469,665,28224,16201,7307,4716,7596,46514,-1251,7751,22430,17584,ND
1998:Q4,53718,162,15195,3555,10209,475,956,28631,16328,7466,4837,9730,51273,-1831,8530,22714,21860,ND
1999:Q1,52609,150,14752,2987,10600,586,579,27984,15820,6947,5217,9723,50466,-1459,7872,21499,22554,ND
1999:Q2,55313,131,15693,3005,11678,607,403,29355,16231,7538,5586,10134,53149,-1129,8392,22053,23833,ND
1999:Q3,57166,149,16732,2641,13187,558,346,29970,16318,7805,5847,10315,54904,-1503,8094,22743,25570,ND
1999:Q4,57127,148,17356,2808,13537,559,452,30915,16863,8065,5987,8708,54829,-2100,8530,24345,24054,ND
2000:Q1,58122,143,17282,2498,13747,680,357,32327,17810,8425,6092,8370,55704,-1774,8186,24544,24748,ND
2000:Q2,59912,184,17560,2366,14157,670,367,33391,17998,8976,6417,8777,57394,-1895,8191,25786,25312,ND
2000:Q3,63343,106,19573,2226,15972,680,695,34451,18389,9363,6699,9213,60684,-1311,8125,26922,26948,ND
2000:Q4,61720,153,21086,1806,17829,693,758,33883,17973,9104,6806,6598,58796,-1555,8431,27164,24756,ND
2001:Q1,61205,76,19434,1158,16409,354,1513,34624,18100,7072,9452,7071,57994,-1789,8415,26862,24506,ND
2001:Q2,62983,93,19088,1037,16492,350,1209,36015,18418,7515,10082,7787,59649,-1628,8766,29068,23443,ND
2001:Q3,64763,65,19992,1415,16829,325,1423,36524,18575,7648,10301,8182,61102,-2455,8766,30300,24491,ND
2001:Q4,77533,67,23308,1167,20302,467,1372,41681,22502,8173,11006,12477,74094,-2704,11528,36274,28996,11215
2002:Q1,80211,105,25017,1999,21340,449,1229,41613,22231,8196,11186,13476,76784,-1579,11227,37395,29741,11869
2002:Q2,81973,70,25754,1114,22793,444,1403,42099,22371,8628,11100,14050,78419,-2657,13270,39057,28749,12133
2002:Q3,82707,78,25752,1057,23076,478,1141,43093,22417,9159,11517,13784,78803,-2629,12174,38953,30305,11938
2002:Q4,72841,101,27298,1490,24243,475,1090,39003,18156,9653,11194,6439,68703,-2383,10401,32399,28286,12561
2003:Q1,74104,75,26285,1621,23368,513,783,39845,17969,10563,11313,7899,69753,-2974,10842,32056,29829,12208
2003:Q2,76933,145,29126,1972,24964,519,1671,40872,18175,11104,11593,6790,72354,-2850,12014,32102,31088,11926
2003:Q3,81204,87,32820,2337,28283,614,1586,42035,18135,11531,12369,6262,76441,-2310,11342,33343,34066,12252
2003:Q4,81284,124,33441,2480,28948,566,1447,43451,18493,12176,12782,4268,76212,-2344,11915,34937,31704,12655
2004:Q1,84609,126,34963,2796,29922,612,1633,44902,18983,12735,13184,4618,79126,-3058,12575,35057,34552,13433
2004:Q2,88449,104,37249,3700,31530,637,1382,47240,19537,13830,13873,3856,83143,-2626,12953,35941,36875,13668
2004:Q3,93598,122,37994,3217,33318,255,1204,49120,19565,14709,14846,6362,87849,-2961,13087,37691,40032,14020
2004:Q4,96140,117,39079,3836,33608,341,1294,51727,20284,15565,15878,5217,90653,-3388,13497,38064,42480,14202
2005:Q1,99591,269,39670,4034,34199,354,1083,54141,20519,20343,13279,5511,94002,-3351,13504,41018,42831,14725
2005:Q2,102718,191,40925,3497,35765,358,1305,56474,22217,20270,13987,5128,96734,-3607,14322,43993,42026,15194
2005:Q3,104298,175,40727,3335,35964,322,1106,58043,21857,20459,15727,5353,98402,-3103,13122,46551,41832,15268
2005:Q4,106533,268,39968,3935,34758,508,767,60992,25911,16314,18767,5305,100590,-2776,13314,47893,42159,14545
2006:Q1,108344,227,39875,4034,34652,641,548,62120,26393,15773,19954,6122,102543,-2470,13637,49817,41559,14738
2006:Q2,108683,282,38018,3726,33436,750,106,61923,23028,18129,20766,8460,103048,-2348,13468,50188,41740,14396
2006:Q3,105441,188,36633,3298,32210,1023,102,62493,24476,17046,20971,6127,99427,-2271,12605,50117,38976,12936
2006:Q4,105482,288,34408,3687,29004,1338,379,64842,25617,17236,21989,5944,99482,-2623,13988,50371,37746,13493
2007:Q1,104177,177,33878,3147,29004,1377,350,63742,24692,16701,22349,6380,97911,-2524,13105,50497,36833,12754
2007:Q2,106215,158,33627,3161,28874,1134,458,63764,23615,17460,22689,8666,100179,-1985,13542,52112,36510,13593
2007:Q3,105975,181,31823,2211,27447,1386,779,65400,24173,17815,23412,8571,99717,-2726,13281,54551,34611,15066
2007:Q4,105034,129,30670,1834,26336,2024,476,62174,21397,21522,19255,12061,91955,-2474,15692,52570,26167,13620
2008:Q1,105644,174,29829,1405,25732,2022,670,62889,21418,22060,19411,12752,91654,-2475,15276,52043,26810,23700
2008:Q2,108183,201,31850,1207,27826,2199,618,62614,21052,22071,19491,13518,93934,-2517,15801,53339,27311,23872
2008:Q3,107124,231,31303,1192,27407,2263,441,62749,20883,22393,19473,12841,92693,-2402,15517,56014,23564,24165
2008:Q4,103850,1870,28607,1190,24386,2521,510,62299,19718,22901,19680,11074,89686,-1360,14606,54735,21705,13022
