1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1989:Q2,1090548,3593,8418,2599,10353,356190,10353,151664,43928,403,149842,15118,251759,7614,434904,430985,3919,1097728
1989:Q3,1137376,3298,8850,2610,10526,361431,10526,153198,47393,336,149978,15295,270927,8029,456410,451210,5200,1144926
1989:Q4,1184742,3171,9060,2791,9703,366167,9703,152396,51203,268,152597,15299,277832,7780,492939,486670,6269,1192664
1990:Q1,1215986,3790,8479,2929,9969,382642,9969,162764,54214,479,155216,15181,267614,7257,518125,511516,6609,1224739
1990:Q2,1247758,4318,7953,2813,11410,389877,11410,168301,56085,486,153595,15243,282130,8380,525634,517805,7829,1257579
1990:Q3,1280468,4716,7802,2738,11820,392299,11820,170147,61255,245,148832,15311,250979,6961,587842,580217,7625,1291239
1990:Q4,1313636,4974,7701,2791,12233,385928,12233,168235,62851,473,142136,16061,284569,7772,591607,583776,7831,1325515
1991:Q1,1346966,4366,14658,2722,13785,390515,13785,177144,62935,364,136287,16562,327145,9730,567483,563573,3910,1359691
1991:Q2,1381125,4640,12230,2804,16515,394449,16515,178753,64651,487,134043,16322,328790,10273,595102,590339,4763,1394937
1991:Q3,1416611,3038,9902,3006,20870,391528,20870,163948,64551,549,141610,16675,357453,12235,601904,596872,5032,1431390
1991:Q4,1452914,3807,8828,2950,18868,387730,18868,165494,58038,619,144711,16886,394962,13102,605781,601160,4621,1468821
1992:Q1,1518256,3960,8406,2970,19299,397418,19299,171904,55408,554,150253,16173,388418,14241,667371,662633,4738,1534988
1992:Q2,1584143,4435,8358,2979,20685,402636,20685,177959,49236,534,154222,17066,391220,15673,721091,716350,4741,1601935
1992:Q3,1650394,6409,7910,3090,23573,419036,23573,197677,48036,378,149372,16306,400848,15615,757607,753570,4037,1669773
1992:Q4,1717111,6515,6942,3106,24680,425302,24680,203534,39761,445,156882,16453,431666,17915,784532,779988,4544,1737922
1993:Q1,1746228,5836,7591,3446,25219,424066,25219,204950,32740,460,160697,15645,463983,19457,780985,776348,4637,1768188
1993:Q2,1775329,6129,8601,3766,26344,435798,26344,211378,32078,617,165381,14506,465277,21158,793750,789025,4725,1798964
1993:Q3,1806363,5460,8554,3789,19887,452871,19887,221833,34149,1222,175780,15055,487775,23455,789517,785215,4302,1830352
1993:Q4,1837621,6619,6230,4124,20449,454083,20449,217450,35796,1371,179017,14529,506221,25631,799735,795626,4109,1862126
1994:Q1,1871137,5476,5869,4512,20399,459417,20399,224335,40588,716,173379,14637,492220,26468,842139,838317,3822,1895703
1994:Q2,1905095,5794,5520,4763,22909,458923,22909,220641,45014,845,169514,14941,494757,27578,869910,865836,4074,1930117
1994:Q3,1939917,7137,2636,4807,25093,459577,25093,217370,38390,1104,177620,15024,520213,30529,874901,870270,4631,1965353
1994:Q4,1975050,6737,2483,4958,27825,463505,27825,215554,39872,1112,179142,15199,521682,44781,887880,883293,4587,2000999
1995:Q1,2014659,5139,2536,5071,29519,483917,29519,224973,44665,1053,183707,15397,558839,50241,864000,859773,4227,2041361
1995:Q2,2055564,4687,2594,5443,31257,485294,31257,217221,48067,1131,187618,15558,612334,55761,842636,838055,4581,2082518
1995:Q3,2097465,5145,4209,5614,29383,487519,29383,211282,56192,1374,189288,15746,667210,60148,822491,817657,4834,2124539
1995:Q4,2139715,4207,4464,5894,31477,493864,31477,208194,63118,1830,189245,15938,703520,62902,817449,812648,4801,2167095
1996:Q1,2173451,4772,4969,6330,26428,509040,26428,213528,69231,2271,197582,16126,736723,64753,804310,799154,5156,2201744
1996:Q2,2207804,5883,3871,6593,28179,523235,28179,221067,70214,1297,202478,16324,762670,66448,794601,789163,5438,2236922
1996:Q3,2244033,7186,2274,6988,27573,511657,27573,213439,65037,496,205112,16526,802307,67960,801562,796294,5268,2272998
1996:Q4,2280058,7466,2293,7592,28222,521621,28222,212791,68622,561,211425,16734,846588,73182,776360,770841,5519,2309510
1997:Q1,2313342,5353,5021,8326,27395,541152,27395,211138,78763,2051,221805,16946,848717,73083,787349,782413,4936,2343866
1997:Q2,2348179,8820,2302,8689,32233,557669,32233,214907,78798,2059,229672,17160,952228,84676,684402,679229,5173,2379058
1997:Q3,2384033,6505,2823,9831,32148,573056,32149,223531,81608,2467,233301,17382,1032573,92503,617212,611881,5331,2415139
1997:Q4,2420991,5314,2420,9644,28616,580667,28616,218997,87006,1503,244545,17607,1051316,93362,632045,626467,5578,2451735
