1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q1,9374,-20054,0,179,108,10943,-838,-39,1072,487,4360,657,6921,0,639,0,4939,5508,-9416,0,0,286,437,5426,344,526,0,0,1808,2972,0,0,0,0,376,3251,0,-502,0,0,3866
1964:Q2,12439,-18692,0,120,137,11209,-959,-45,1063,488,4529,730,7482,0,640,0,5737,6207,-9414,0,0,279,349,5522,434,553,0,0,1840,3255,0,0,0,0,359,3549,0,-519,0,0,6232
1964:Q3,14247,-17548,0,120,180,12209,-1118,-46,1054,489,4552,638,7782,0,631,0,5304,7302,-9582,0,0,293,458,6131,441,578,0,0,1872,3551,0,0,0,0,394,3703,0,-537,0,0,6945
1964:Q4,15115,-16623,0,120,875,11269,-1348,-49,1047,519,4655,695,7876,0,625,0,5454,7061,-9974,0,0,309,359,5939,581,601,0,0,1909,3781,0,0,0,0,387,3725,0,-556,0,0,8054
1965:Q1,18618,-15867,0,121,608,12973,-1468,-52,1039,520,4756,759,7998,0,614,0,6617,7651,-9290,0,0,270,464,5227,884,605,0,0,1951,3955,0,0,0,0,381,3779,0,-575,0,0,10967
1965:Q2,18524,-16768,0,246,492,13009,-1334,-55,1032,519,4976,719,7959,0,615,0,7114,10103,-8599,0,0,282,412,6331,1192,597,0,0,2000,4105,0,0,0,0,420,3958,0,-595,0,0,8421
1965:Q3,22339,-14373,0,247,396,14264,-1019,-57,1023,518,5039,645,8189,0,608,0,6859,8352,-9846,0,0,319,446,5833,644,590,0,0,2048,4186,0,0,0,0,434,4314,0,-616,0,0,13986
1965:Q4,22616,-13440,0,247,351,14271,-1037,-61,1018,517,5090,844,7668,0,608,0,6540,7831,-10828,0,0,307,451,6203,614,604,0,0,2092,4340,0,0,0,0,442,4243,0,-637,0,0,14786
1966:Q1,24075,-14055,0,247,239,16452,-876,-62,1013,516,4780,972,7006,0,598,0,7245,9481,-9245,0,0,309,609,6084,636,623,0,0,1963,4551,0,0,0,0,441,4169,0,-659,0,0,14593
1966:Q2,20612,-16415,0,91,336,16021,-847,-62,1011,517,5152,775,6133,0,589,0,7311,10192,-9762,0,0,374,610,6814,1029,652,0,0,1853,4820,0,0,0,0,393,4091,0,-682,0,0,10420
1966:Q3,19713,-20745,0,356,261,18345,-863,-63,1004,519,5549,774,5742,0,578,0,8256,11109,-9543,0,0,377,690,7246,974,684,0,0,1734,5132,0,0,0,0,486,4035,0,-706,0,0,8604
1966:Q4,16205,-19834,0,656,493,14083,-922,-65,1002,494,5460,752,4451,0,574,0,9061,6356,-12975,0,0,452,650,6161,757,716,0,0,1948,5355,0,0,0,0,351,3671,0,-730,0,0,9850
1967:Q1,21999,-16740,0,632,288,16334,-1090,-66,1004,495,5199,753,4034,0,569,0,10587,4970,-14368,0,0,457,733,5787,299,741,0,0,2585,5550,0,0,0,0,296,3628,0,-738,0,0,17029
1967:Q2,20421,-17876,0,839,398,15034,-1098,-67,1009,496,5608,772,4139,0,560,0,10607,5933,-14691,0,0,498,663,6167,567,768,0,0,2551,5842,0,0,0,0,293,4022,0,-747,0,0,14488
1967:Q3,22983,-16449,0,823,411,17232,-1034,-67,1009,497,5890,764,3553,0,548,0,9806,6558,-15390,0,0,468,848,7126,305,792,0,0,2509,6090,0,0,0,0,419,4146,0,-755,0,0,16425
1967:Q4,22435,-15319,0,1019,556,14731,-942,-67,1013,522,6189,813,2429,0,534,0,10957,7762,-14886,0,0,452,671,7961,187,812,0,0,2510,6360,0,0,0,0,392,4067,0,-764,0,0,14674
1968:Q1,21973,-21231,0,1203,535,18549,-937,-66,1012,523,6157,838,2920,0,518,0,11952,9362,-13552,0,0,471,790,7754,358,844,0,0,2540,6655,0,0,0,0,385,3891,-1,-773,0,0,12610
1968:Q2,25774,-17095,0,1359,636,17656,-1138,-65,1012,524,6331,945,3188,0,499,0,11922,7515,-16723,0,0,464,787,8339,652,845,0,0,2591,6781,0,0,0,0,376,4184,0,-781,0,0,18259
1968:Q3,29722,-16776,0,1199,594,20362,-1137,-65,1008,525,6387,823,3942,0,481,0,12379,6043,-19299,0,0,400,818,9986,-259,872,0,0,2656,6965,0,0,0,0,339,4356,-1,-790,0,0,23679
1968:Q4,29001,-17081,0,1215,893,19512,-1393,-66,1012,549,6644,781,3271,0,474,0,13190,6152,-19940,0,0,367,906,8951,736,956,0,0,2733,7151,0,0,0,0,405,4686,0,-799,0,0,22849
1969:Q1,31171,-20574,0,1172,539,25038,-2729,-95,1012,550,6598,884,3644,0,468,395,14269,5443,-20261,0,0,324,843,6979,984,1138,0,0,2854,7382,0,0,0,0,418,5201,0,-809,390,0,25727
1969:Q2,28626,-23998,0,990,826,22403,-2840,-135,1015,552,6868,903,5205,0,446,580,15811,8432,-21181,0,0,302,776,9339,731,1438,0,0,2979,7590,0,0,0,0,526,6117,0,-818,633,0,20194
1969:Q3,38506,-27999,0,923,626,33398,-2990,-138,1015,553,6872,1104,5405,0,427,964,18346,4914,-22141,0,0,289,896,6716,679,1710,0,0,3051,7807,0,0,0,0,613,5714,0,-827,407,0,33592
1969:Q4,30005,-29722,0,917,1201,24610,-1465,-141,1025,521,6994,1278,3837,0,417,414,20119,3040,-24017,0,0,257,776,6966,-41,1806,0,0,3167,7998,0,0,0,0,761,5455,0,-837,749,0,26965
1970:Q1,27696,-48197,7623,317,1026,30014,-3722,-145,1037,523,6876,1476,5804,0,408,208,24448,5895,-23701,0,0,256,930,6895,607,1919,0,0,3260,8227,0,0,0,0,833,6205,0,-846,1310,0,21800
1970:Q2,12145,-60381,7763,317,1135,24642,-3404,-149,1053,525,7111,1558,5679,0,398,160,25738,13178,-18346,0,0,258,866,7765,-21,1984,0,0,3347,8631,0,0,0,0,920,6341,-1,-856,2290,0,-1033
1970:Q3,11984,-55490,8105,304,1185,26211,-3845,-154,1064,526,7065,1643,5313,0,397,216,19444,3966,-23859,0,0,229,997,5831,-560,2022,0,0,3431,8715,0,0,0,0,830,6330,0,-866,866,0,8018
1970:Q4,11231,-52426,8581,304,1672,22894,-3290,-158,1084,537,7154,1799,3147,0,392,1573,17968,1794,-27664,0,0,217,866,6315,-1407,2062,0,0,3513,8853,0,0,0,0,1528,6621,0,-875,1765,0,9437
1971:Q1,20065,-48378,9335,314,1172,27320,-4265,-167,1088,539,7128,1699,6634,0,379,1165,16102,7482,-25887,1000,0,206,964,8817,-812,1886,0,0,3636,8982,0,0,0,0,1485,7377,61,-885,652,0,12583
1971:Q2,14477,-50792,9739,311,1128,24598,-5276,-175,1089,540,7383,1657,7473,0,366,1575,14861,11136,-26076,2000,0,255,990,11015,-1085,1723,0,0,3785,9241,0,0,0,0,1636,7825,17,-896,706,0,3342
1971:Q3,24216,-51059,10424,311,933,29881,-4728,-185,1082,542,7454,2046,8963,0,343,3454,14755,15169,-24253,3000,0,325,971,10786,-821,1956,0,0,3934,9472,0,0,0,0,1861,7877,104,-906,863,0,9047
1971:Q4,21975,-49605,11476,311,1467,25455,-4423,-196,1083,608,7735,1697,7398,0,321,3578,15070,17477,-24384,4000,0,308,1051,11558,-780,2133,0,0,4063,9693,0,0,0,0,1681,8359,167,-916,544,0,4498
1972:Q1,33685,-46732,12396,312,1180,30942,-1980,-203,1086,610,7873,1863,8817,66,480,2629,14346,27033,-18083,5000,0,333,880,11905,-238,1958,0,0,4176,10915,0,0,0,0,1719,8616,635,-927,144,0,6652
1972:Q2,34671,-47966,12681,312,1469,30865,-914,-211,1088,611,8490,1897,9384,200,644,2826,13295,35017,-16681,6200,0,335,972,14551,-178,1815,0,0,4275,12936,0,0,0,0,1728,8968,913,-937,120,0,-346
1972:Q3,35368,-47952,13184,312,1383,33050,-1127,-217,1081,613,8749,2231,9312,293,821,2830,10805,37153,-17297,7400,0,290,961,12968,-144,1889,0,0,4371,14998,0,0,0,0,1751,9179,1164,-948,571,0,-1785
1972:Q4,40885,-43811,14160,312,1469,32517,843,-223,1084,693,8842,2102,8461,309,978,2643,10506,41895,-18397,8600,0,206,1068,14341,502,2143,0,0,4475,16445,0,0,0,0,1362,9734,1294,-959,1081,0,-1009
1973:Q1,41418,-48228,15128,312,1571,36879,759,-225,1122,694,9134,2819,9281,346,-96,3212,8710,67103,306,10356,0,208,945,15044,493,2261,0,0,4586,17645,0,0,0,0,1664,9739,1764,-970,3062,0,-25684
1973:Q2,40936,-54948,15261,312,1530,39897,971,-228,1162,700,9483,2457,10287,347,-416,3401,10720,73067,-536,10817,0,215,1131,18014,523,2211,0,0,4701,18501,0,0,0,0,1711,10311,1508,-981,4941,0,-32132
1973:Q3,52265,-49189,15888,312,1914,43066,968,-242,1181,706,9439,3139,10610,358,-2219,4695,11639,66680,-5799,11226,0,235,991,12811,729,2247,0,0,4819,19020,0,0,0,0,2309,10067,881,-992,8136,0,-14415
1973:Q4,47296,-59811,17447,312,2721,40123,1307,-255,1212,817,9618,3513,11874,424,-2507,4719,15782,76309,-2730,11427,0,178,1362,18188,592,2221,0,0,4934,20067,0,0,0,0,2349,11197,654,-1003,6873,0,-29013
