1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q4,15943,704,10135,2175,3074,-182,526,-686,166,0,79,268,-102,6,138,0,-226,90,26,-466,37
1975:Q1,-7242,-17636,10206,-2500,92,1559,-267,1881,692,-8,3,-180,24,-16,54,0,-234,108,-68,-430,1038
1975:Q2,8963,-1309,13751,-5186,-1526,1132,-109,1657,-422,-10,-6,-13,725,-17,-139,0,-160,97,-75,-397,2102
1975:Q3,10360,-10176,19211,1530,-941,3842,34,3775,936,16,-29,-207,-146,-38,-112,0,-14,112,-99,-386,-3106
1975:Q4,7139,-14226,17164,5311,-301,-3083,506,-2451,-416,15,-16,-783,270,-28,307,0,-90,107,-124,-379,2273
1976:Q1,-1090,-12004,6632,-747,1226,1427,-502,3903,554,60,8,-1505,-204,-37,76,0,-457,120,-228,-361,2376
1976:Q2,-2945,-9156,-1771,-144,-395,1915,-10,1390,-53,50,12,-68,1464,-42,-87,0,-317,119,-179,-363,6606
1976:Q3,533,-6645,12856,-2104,623,-592,-37,959,-236,-1,0,-1084,543,-72,7,0,-249,113,-165,-371,-3605
1976:Q4,-545,-20887,17212,4576,-3052,-4131,449,-3552,536,-2,18,-783,-481,-61,123,0,-24,103,-82,-375,5737
1977:Q1,-5783,-17147,9457,1537,-1318,1896,-471,3501,111,20,161,-678,247,-58,-133,0,-396,88,-157,-338,-208
1977:Q2,9366,9104,5888,-4647,-1841,-1065,5,-590,523,16,158,-505,471,-69,-25,0,-427,-151,-120,-350,1927
1977:Q3,-9032,-9964,9280,-160,-2139,1801,16,698,1567,-53,148,-611,587,-79,69,0,-183,114,-116,-355,-7850
1977:Q4,3258,-6809,10350,9958,-3616,-2700,509,-2712,-260,-73,160,-709,641,-43,272,0,-397,349,-68,-369,-3926
1978:Q1,-6069,-17734,11368,-532,224,1337,-432,2553,-132,-5,48,316,44,-7,152,0,-598,102,-140,-565,-732
