1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q1,3261553,1104937,817753,6435,2050,278699,645330,533779,61491,7151,42908,0,800697,765534,35163,303856,136565,100520,66771,361012,349347,9844,1821,45721,127631,4938,122693,81910,24631,57279,3261553,17425,0.537131148079194,3225968,22377,0.698486634285401
1968:Q2,3413410,1130394,836122,6573,2120,285579,657367,543214,62520,7189,44444,0,904738,845440,59298,307734,137314,101619,68801,368721,356784,10048,1889,44456,131056,5750,125306,86600,28212,58388,3413410,151857,4.655969515858403,3363854,137886,4.27426749141173
1968:Q3,3473375,1152220,849479,6714,2195,293832,666645,550907,63566,7229,44944,0,924956,848238,76718,312231,139258,102080,70893,373500,361283,10256,1961,43823,134328,6104,128224,90505,28883,61622,3473375,59966,1.756762885695785,3425865,62010,1.843431014559856
1968:Q4,3662398,1200785,889605,6876,2274,302030,685641,569262,64811,7321,44247,0,1022500,968199,54301,319583,143061,103491,73031,387058,374457,10564,2037,46831,140390,6452,133938,93559,29517,64042,3662398,189023,5.442058677980572,3595390,169525,4.948388616598236
1969:Q1,3680624,1233251,914582,7036,2344,309289,699774,580615,65845,7436,45878,0,974955,930024,44931,325993,147111,103572,75310,399410,386473,10821,2116,47241,142994,6516,136478,95753,28598,67155,3680624,18226,0.497643224391763,3612773,17384,0.483495242898952
1969:Q2,3709882,1259344,932881,7208,2417,316838,713704,591182,66998,7506,48018,0,941770,906545,35225,334385,151093,105644,77648,413770,400493,11081,2196,46909,146313,6737,139576,99404,27895,71509,3709882,29258,0.794932292138749,3620191,7418,0.205325402756145
1969:Q3,3735223,1278153,945017,7409,2491,323236,721309,598403,68456,7645,46805,0,923399,881818,41581,337517,152270,105202,80045,423697,410046,11367,2284,51148,149206,6763,142443,98058,26633,71425,3735223,25340,0.683050831905113,3642142,21951,0.606346631222676
1969:Q4,3764030,1308683,968674,7605,2568,329836,734622,609003,69959,7756,47903,0,888656,851436,37220,343047,154673,105910,82464,438039,423875,11791,2373,50983,153848,6953,146895,102865,26761,76104,3764030,28807,0.771222583444787,3660242,18100,0.496965181670756
1970:Q1,3781803,1318327,973544,7805,2644,334334,744225,616240,71413,7892,48680,0,865288,826399,38889,350816,157966,107935,84915,450970,436392,12111,2467,52177,157279,6749,150530,105102,25996,79106,3781803,17774,0.472199775464678,3687970,27728,0.7575395161342
1970:Q2,3716294,1356816,1006440,7995,2718,339663,766813,637157,72836,7932,48888,0,711694,697732,13962,357917,161636,108995,87286,467739,452810,12367,2562,55315,158681,5713,152968,103366,21457,81909,3716294,-65510,-1.7322330611508,3624621,-63349,-1.717726918537116
