date,Closed-end funds; total financial assets,Closed-end funds; debt securities; asset,Closed-end funds; Treasury securities; asset,Closed-end funds; municipal securities; asset,Closed-end funds; corporate and foreign bonds; asset,Closed-end funds; corporate equities; asset,Closed-end funds; total financial assets,Closed-end funds; total financial assets in domestic equity funds,Closed-end funds; total financial assets in world equity funds,Closed-end funds; total financial assets in domestic taxable bond funds,Closed-end funds; total financial assets in municipal bond funds,Closed-end funds; total financial assets in world bond funds
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1990:Q3,1475,-165,-5,480,-640,1640,1475,ND,ND,ND,ND,ND
1990:Q4,-707,294,274,873,-853,-1001,-707,ND,ND,ND,ND,ND
1991:Q1,792,2074,578,2104,-608,-1282,792,ND,ND,ND,ND,ND
1991:Q2,5525,3791,899,3008,-116,1734,5525,ND,ND,ND,ND,ND
1991:Q3,4479,3531,945,3172,-586,948,4479,ND,ND,ND,ND,ND
1991:Q4,3779,3394,715,3008,-329,385,3779,ND,ND,ND,ND,ND
1992:Q1,6162,5824,523,3998,1303,338,6162,ND,ND,ND,ND,ND
1992:Q2,5429,4701,365,3765,571,728,5429,ND,ND,ND,ND,ND
1992:Q3,4115,4621,340,3555,726,-506,4115,ND,ND,ND,ND,ND
1992:Q4,4460,5038,447,2951,1640,-578,4460,ND,ND,ND,ND,ND
1993:Q1,5924,4996,518,3018,1460,928,5924,ND,ND,ND,ND,ND
1993:Q2,5924,4996,518,3018,1460,928,5924,ND,ND,ND,ND,ND
1993:Q3,5924,4996,518,3018,1460,928,5924,ND,ND,ND,ND,ND
1993:Q4,5924,4996,518,3018,1460,928,5924,ND,ND,ND,ND,ND
1994:Q1,591,-925,-238,405,-1092,1516,591,ND,ND,ND,ND,ND
