1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1977:Q4,22203,2318,37509,16940,-1381,-17632,2034,-12271,967,-290,641,-2838,-4854,-172,1089,0,-1590,1398,-271,-1476,-15551
1978:Q1,-33474,-68932,31529,-6234,-528,13586,-1728,14719,-825,-21,193,1265,4205,-28,606,0,-2391,409,-558,-2260,-2896
1978:Q2,44735,-12693,63165,-1921,-10829,-2927,606,-6206,-1040,-22,129,2726,5227,52,505,0,-2196,422,-521,-2610,9940
1978:Q3,-15105,-15294,50808,-4287,-7521,-6078,537,-4882,5116,-79,-26,-4181,2461,32,593,0,-2784,430,-496,-2800,-32734
1978:Q4,32372,-3896,37928,16290,-547,-29252,2701,-26205,5650,-83,-113,-4413,-3192,68,1796,0,-2587,459,-368,-2966,11849
1979:Q1,58288,2454,46926,-5517,-4676,15482,-2679,15196,3942,-43,144,638,4196,28,792,0,-2518,567,-1433,-3347,3619
1979:Q2,28043,-8862,30737,-6327,-9674,-23992,53,-16222,-6453,-44,78,4528,-514,-16,40,0,-1843,587,-790,-3396,46162
1979:Q3,38160,-11358,55312,12054,-3692,-17667,-69,-19364,4927,-48,-92,-169,2498,-272,477,0,-1218,635,-1340,-3632,3511
1979:Q4,86,-86280,73932,320,-6961,-20220,2821,-15588,6142,-48,-299,-741,-4747,-408,2881,0,-6460,671,-748,-3696,39296
1980:Q1,47016,-18718,91744,-12163,-5269,-22200,-1655,-15195,42,-53,144,4889,-727,396,-698,0,1131,647,-6070,-5051,13622
1980:Q2,-97108,-143960,49666,23622,-11369,-47515,-125,-21802,-17386,-55,206,5242,5374,176,1049,0,-13197,611,-2874,-4735,32448
1980:Q3,-90059,-91098,12763,-865,-14113,-12557,14,-23162,16258,-54,-318,1532,3264,1080,634,0,-7061,684,-893,-4535,15811
1980:Q4,-18159,-46886,62200,-29459,5764,-31271,1714,-33123,4555,-48,-100,159,-565,972,557,0,805,712,-2143,-4765,21493
1981:Q1,-24284,-80866,6807,13445,976,4081,-1662,-7226,15504,-61,548,131,6834,1216,1148,0,-4493,646,-2824,-5681,31273
1981:Q2,-130582,-111889,12186,10670,-21756,-34664,233,-18855,-12112,-61,188,2421,1630,1608,92,0,-1248,676,-3232,-6004,14872
1981:Q3,-48440,-135379,71419,14837,-6203,9042,420,-14422,25508,-66,-376,-1644,8580,1612,1255,0,-4882,716,-1961,-5699,-2156
1981:Q4,4530,-151005,9351,8429,15897,-172,1897,10684,-5190,-62,-53,1595,-429,1984,2451,0,-4746,778,-2996,-6085,122029
1982:Q1,90705,-164541,89618,28501,6670,-64223,-828,-56062,-2745,-66,1565,-1568,6871,1428,434,0,-3367,-11,-2193,-7682,194680
1982:Q2,41346,-103814,89491,3476,-3908,-36201,204,-50687,18329,-65,-442,-4429,11297,2792,289,0,-2890,73,-3461,-7211,92303
1982:Q3,-57251,-216820,57569,24788,-120,50841,-1057,17270,39385,-63,-2159,-1939,10448,2480,221,0,-4046,69,-3925,-5844,26490
1982:Q4,70275,15009,65357,-17524,4835,-62166,1209,-10701,-36936,-67,-1355,8079,-15313,2072,2270,0,-1078,44,-5096,-5294,64763
1983:Q1,-123163,-178795,34671,36868,-13630,-38795,-1168,-489,-10295,-66,3600,-4729,-8375,2276,464,0,-9688,0,-4181,-6145,36518
1983:Q2,-120198,-213002,8134,30892,1974,16055,329,17678,21604,-70,954,-4405,-8581,1920,467,0,-2593,174,-5566,-5857,35749
1983:Q3,-108859,-214761,52718,-20467,9460,-13775,-505,-1623,14445,-67,-2621,-3114,-6705,564,150,0,-4098,40,-4867,-5373,77967
1983:Q4,34149,92134,46411,-58035,11508,96129,1993,34982,69841,-71,-1498,6959,-8606,-248,1908,0,341,-393,-3378,-5700,-153998
1984:Q1,-23114,-112393,-7058,31913,-8347,-81243,-1991,-27063,-51525,-76,7214,201,6043,464,504,0,-3011,-1130,-3612,-7261,154014
1984:Q2,-171718,-142481,-75258,48498,-11383,-43100,511,-27580,4957,-76,-51,-3508,-5725,328,1400,0,760,-2036,-4326,-7753,52006
1984:Q3,-22187,-19946,-71433,5803,-28103,61619,544,74698,12763,-77,-3914,-6100,2977,1080,867,0,-4108,-1787,-7792,-7533,29873
1984:Q4,-93298,14218,-86445,-56803,-734,-2705,1408,13553,1862,-80,-1973,-2550,2146,1756,1110,0,-4764,-321,-7210,-7643,39172
1985:Q1,-65153,-243164,97895,26833,-13108,-10237,-5156,12213,24733,-83,6833,-11596,-21936,2208,436,0,-3567,1171,-7199,-8294,76627
1985:Q2,50450,-12073,99901,36596,-34419,-29889,-855,-7321,6316,-87,-2046,1973,-14067,672,-551,0,-3803,2356,-4237,-8238,-9665
1985:Q3,123621,35915,59054,22575,-17423,-8859,-2366,18266,8572,-86,-5036,1264,-13181,1156,2476,0,-3555,2771,-11339,-7801,32359
1985:Q4,33433,24071,86065,-10686,-13927,-49219,1474,23053,-59668,-87,-1371,7196,-5653,412,7506,0,-4392,-2182,-7649,-7858,-2872
1986:Q1,-163711,-209275,-42878,30022,-21997,23178,-4296,55398,9502,-149,7348,-12286,-9791,3856,2518,0,-11216,2202,-12064,-7844,57239
1986:Q2,-253759,-226599,-52627,91804,15098,-73940,-3862,23872,-40891,-115,-4847,-8563,-14977,2960,563,0,-14343,1269,-8076,-6930,-7495
1986:Q3,-153873,-116328,-24370,-1984,-39408,-43367,-1910,-5518,12107,-114,-5962,-7563,-20647,4888,-1654,0,-634,-825,-8964,-6571,71585
1986:Q4,-349096,-266386,8946,-14465,-57548,-30702,51,-74681,20682,-115,-1008,14731,4383,4236,347,0,6980,7114,-7001,-6421,11058
1987:Q1,-29184,-39856,18307,-140,-19235,-36566,-4951,16677,-24319,-3,7239,-5997,2436,-3784,-101,0,-13121,-295,-3793,-6554,48307
1987:Q2,-270873,-229052,29535,4108,-12589,-85977,-2032,-49247,1154,17,-6046,-3654,-10660,-5828,-478,0,-156,377,-2676,-6748,23103
1987:Q3,-237343,-256920,38453,-2879,-14894,9124,-1222,18206,33608,12,-4748,-8245,-4631,-6800,1650,0,-9371,1934,-4645,-6624,-10228
1987:Q4,-154740,-63272,-81568,8369,-19260,-19346,-1289,2025,13644,-1,461,4001,-33468,-7388,913,0,-563,-458,9296,-6519,20337
