1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1993:Q1,559524,18881,37485,73937,415016,177605,77674,50914,101271,7552,14205,559524,559524,0,0,0,0,7492
1993:Q2,552412,19261,33743,68925,414676,174272,76388,56429,98627,8960,15807,552412,552412,0,0,0,0,7484
1993:Q3,550522,14012,26333,76972,414741,162050,74468,66223,101315,10685,18464,550522,550522,0,0,0,0,7801
1993:Q4,565319,10083,32275,67201,432996,166457,80430,68614,105612,11883,22764,565319,565319,0,0,0,0,7820
1994:Q1,582288,11457,28818,74091,438767,168845,68914,69334,117503,14171,29155,582288,582288,0,0,0,0,9251
1994:Q2,576632,8959,30073,72173,438703,179278,59522,71966,113789,14148,26724,576632,576632,0,0,0,0,10002
1994:Q3,586195,8572,35564,72196,445072,182319,59945,74643,113287,14878,24791,586195,586195,0,0,0,0,10223
1994:Q4,611005,16020,32101,70314,466746,191311,67603,78862,113472,15498,25824,611005,611005,0,0,0,0,10730
1995:Q1,641874,15239,42345,74507,488218,209131,67745,76542,119350,15450,21565,641874,641874,0,0,0,0,10529
1995:Q2,686673,15599,43563,82510,515833,229200,58671,89970,120917,17075,29168,686673,686673,0,0,0,0,11514
1995:Q3,710873,21509,58270,85156,513454,223568,64196,83109,123403,19178,32484,710873,710873,0,0,0,0,11763
1995:Q4,753018,20056,53333,89478,553527,239977,71287,92543,127800,21920,36624,753018,753018,0,0,0,0,12069
1996:Q1,824202,21589,57619,98438,603617,252297,87222,97906,141145,25047,42939,824202,824202,0,0,0,0,12792
1996:Q2,817748,14403,55659,100113,603610,267810,82167,91299,136833,25501,43963,817748,817748,0,0,0,0,13359
1996:Q3,852063,17971,69158,103377,619063,272190,85824,97094,138758,25197,42494,852063,852063,0,0,0,0,14195
1996:Q4,901807,23568,84412,105879,644395,279461,92046,103881,144615,24392,43553,901807,901807,0,0,0,0,15193
1997:Q1,965433,21145,101866,121874,671488,310107,84179,94326,155867,27009,49060,965433,965433,0,0,0,0,16672
1997:Q2,963700,20655,108625,115929,667064,315238,76327,95209,151980,28310,51427,963700,963700,0,0,0,0,16575
1997:Q3,1015127,23449,117151,126978,688733,329746,76443,90198,159059,33287,58816,1015127,1015127,0,0,0,0,16071
1997:Q4,1058885,23601,113384,128900,732284,342224,87775,98089,167136,37060,60716,1058885,1058885,0,0,0,0,16474
1998:Q1,1142406,28778,111507,138677,785469,377601,84742,97473,180008,45645,77975,1142406,1142406,0,0,0,0,17068
1998:Q2,1168511,22275,109061,146448,828335,403083,82899,95256,177515,69582,62392,1168511,1168511,0,0,0,0,19197
1998:Q3,1266902,27148,122740,165068,885269,412289,84136,124163,185892,78789,66677,1266902,1266902,0,0,0,0,24033
1998:Q4,1351678,30714,126521,141711,987231,423836,110121,176043,193307,83924,65501,1351678,1351678,0,0,0,0,23854
1999:Q1,1438367,40128,144438,140678,1052849,482868,101036,173245,204312,91388,60274,1438367,1438367,0,0,0,0,26608
1999:Q2,1420845,45490,141164,142795,1021217,479608,85686,160755,196328,98840,70179,1420845,1420845,0,0,0,0,27395
1999:Q3,1476728,55369,139462,141824,1074755,503860,89080,166644,199338,115833,65318,1476728,1476728,0,0,0,0,32429
1999:Q4,1613146,42096,159208,143975,1179905,538173,106366,195734,211793,127839,87962,1613146,1613146,0,0,0,0,33732
2000:Q1,1696149,58635,169583,162665,1262013,586310,101397,176850,221548,175908,43253,1696149,1696149,0,0,0,0,31310
2000:Q2,1658250,64970,153457,174297,1214276,567204,80320,164495,217025,185232,51250,1658250,1658250,0,0,0,0,30502
2000:Q3,1727378,64607,161342,179165,1260214,607109,79918,166549,224154,182484,62050,1727378,1727378,0,0,0,0,30648
2000:Q4,1845248,82095,160566,187441,1348643,640824,93821,191583,242356,180059,66503,1845248,1845248,0,0,0,0,33037
2001:Q1,2035459,104776,198656,214649,1472811,662767,99846,257517,253518,199163,44567,2035459,2035459,0,0,0,0,40512
2001:Q2,2052455,102027,191572,218307,1486655,656309,96833,281346,250741,201426,53894,2052455,2052455,0,0,0,0,37763
2001:Q3,2161638,102712,192532,228886,1590795,671537,118650,336820,255323,208465,46713,2161638,2161638,0,0,0,0,46239
2001:Q4,2285310,113612,247467,239318,1624482,656512,142343,351196,269711,204720,60431,2285310,2285310,0,0,0,0,44756
2002:Q1,2247857,106311,252953,243606,1592750,638475,142746,331561,273910,206058,52237,2247857,2247857,0,0,0,0,44503
2002:Q2,2190769,104313,250260,260460,1519197,617299,128379,305411,271531,196577,56539,2190769,2190769,0,0,0,0,46242
2002:Q3,2158164,106904,226140,257677,1506231,569524,124965,329747,272161,209834,61212,2158164,2158164,0,0,0,0,49821
2002:Q4,2265075,106890,224818,285285,1596707,619530,146058,332468,286085,212566,51375,2265075,2265075,0,0,0,0,48070
