1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2016:Q4,174811,26959,5233,20838,258,505,20075,121781,610561,268058,264292,27823,236469,33118,203351,78211
2017:Q1,193703,32736,6064,24620,266,544,23810,130283,625408,281430,267394,29609,237785,31161,206624,76584
2017:Q2,195200,30670,6295,24529,293,602,23634,133706,637451,285090,267959,29402,238557,30013,208544,84402
2017:Q3,210289,38218,6752,24809,307,659,23843,140510,650363,293533,268058,30693,237365,28821,208544,88772
2017:Q4,216506,31805,7317,33050,320,697,32033,144334,663152,305617,273234,31190,242044,28398,213646,84301
2018:Q1,213754,27900,7825,30814,309,738,29767,147215,664295,305388,271777,33209,238568,27594,210974,87130
2018:Q2,212442,26711,9055,29560,302,999,28259,147116,665187,309360,266910,30041,236869,28231,208638,88917
2018:Q3,214809,28138,10092,29653,295,998,28360,146926,671162,315818,262379,32953,229426,27416,202010,92965
2018:Q4,208332,26377,10006,27321,286,359,26676,144628,668699,322827,260559,34331,226228,23976,202252,85313
2019:Q1,203413,25785,9643,27104,279,308,26517,140881,697193,328947,252810,32279,220531,22726,197805,115436
2019:Q2,208222,29446,10411,28546,273,328,27945,139819,711998,341985,250419,30689,219730,22419,197311,119594
2019:Q3,217213,36336,10587,29941,267,464,29210,140349,730360,356003,249607,29333,220274,21859,198415,124750
2019:Q4,216677,32903,10992,31029,189,845,29995,141753,737891,358834,252801,28489,224312,22761,201551,126256
2020:Q1,256522,64779,10636,31800,201,655,30944,149307,784201,364538,291312,66233,225079,23393,201686,128351
2020:Q2,255382,62287,12061,31995,204,682,31109,149039,783337,391895,262101,38322,223779,23749,200030,129341
2020:Q3,247654,50089,12257,36724,218,734,35772,148584,778245,393967,252093,26289,225804,22915,202889,132185
2020:Q4,248929,44624,12888,37061,218,1400,35443,154356,789975,401435,253846,27391,226455,23735,202720,134694
2021:Q1,255884,44622,14441,39496,225,1953,37318,157325,791562,409035,248953,28105,220848,23867,196981,133574
2021:Q2,270978,46058,16934,38908,231,1923,36754,169078,809374,421001,246099,26919,219180,23520,195660,142274
2021:Q3,277113,48143,19706,38651,239,1831,36581,170613,796098,420861,232347,22011,210336,23712,186624,142890
2021:Q4,285486,44278,19014,40168,563,1643,37962,182026,813237,433646,234048,28377,205671,22545,183126,145543
